Name	Count	Percentage
Finnish;German;Latin	    23	 0.00
Swedish;Norwegian;English	    23	 0.00
English;Japanese	    22	 0.00
Korean	    22	 0.00
Latin;Hebrew	    22	 0.00
Bantu (Other)	    21	 0.00
English;Spanish	    21	 0.00
Finnish;Russian;English	    21	 0.00
Sami;Skolt Sami	    21	 0.00
Esperanto;Finnish	    20	 0.00
Finnish;English;Spanish	    20	 0.00
Finnish;Swedish;German;French	    20	 0.00
Finnish;Turkish	    20	 0.00
Latin;English	    20	 0.00
Vietnamese	    20	 0.00
Faroese	    19	 0.00
Finnish;Greek, Ancient (to 1453)	    19	 0.00
Greek, Ancient (to 1453)	    19	 0.00
Inari Sami	    19	 0.00
Komi	    19	 0.00
Norwegian;Swedish;Danish	    19	 0.00
Swedish;Danish;English	    19	 0.00
Swedish;English;German;French	    19	 0.00
English;Arabic	    18	 0.00
Finnish;Dutch	    18	 0.00
Finnish;Polish	    18	 0.00
Greek, Ancient (to 1453);Finnish	    18	 0.00
Polish;Finnish	    18	 0.00
Chinese;Finnish	    17	 0.00
Greek, Ancient (to 1453);Latin	    17	 0.00
Swedish;English;Finnish	    17	 0.00
Catalan	    16	 0.00
Danish;English	    16	 0.00
Finnish;English;Chinese	    16	 0.00
Finnish;English;Multiple languages	    16	 0.00
Finnish;German;English	    16	 0.00
Finnish;Kurdish	    16	 0.00
German;Finno-Ugrian (Other)	    16	 0.00
Swedish;English;Norwegian	    16	 0.00
Finnish;English;Italian	    15	 0.00
Finnish;Swedish;German;Russian	    15	 0.00
Kurdish	    15	 0.00
Swahili	    15	 0.00
Finnish;English;Japanese	    14	 0.00
Finnish;Romanian	    14	 0.00
Finnish;Swedish;Danish	    14	 0.00
Finnish;Swedish;English;German;French;Spanish	    14	 0.00
German;English;French	    14	 0.00
Karelian;Finnish	    14	 0.00
Arabic;Finnish	    13	 0.00
English;Danish	    13	 0.00
English;French;Russian	    13	 0.00
English;German;Russian	    13	 0.00
Finnish;English;German;Swedish	    13	 0.00
Finnish;Northern Sami	    13	 0.00
Finnish;Swedish;Sami	    13	 0.00
Finnish;Thai	    13	 0.00
Karelian;Russian	    13	 0.00
Norwegian;Danish;Swedish	    13	 0.00
Turkish;Finnish	    13	 0.00
English;Finnish;Russian	    12	 0.00
Finnish;English;Latin	    12	 0.00
Finnish;Romani	    12	 0.00
Finnish;Vietnamese	    12	 0.00
Greek, Modern (1453-);Finnish	    12	 0.00
Italian;English	    12	 0.00
Russian;Karelian	    12	 0.00
Sami;Northern Sami;Finnish	    12	 0.00
Swedish;Italian	    12	 0.00
Udmurt	    12	 0.00
Belarusian	    11	 0.00
Finnish;English;Swedish;German	    11	 0.00
Finnish;Ukrainian	    11	 0.00
German;Estonian	    11	 0.00
Moksha	    11	 0.00
Northern Sami;Finnish	    11	 0.00
Spanish;Swedish	    11	 0.00
Swedish;Finnish;English;German	    11	 0.00
Swedish;German;French	    11	 0.00
Finnish;Albanian	    10	 0.00
Finnish;Czech	    10	 0.00
Finnish;English;German;French;Latin	    10	 0.00
Finnish;French;English	    10	 0.00
Finnish;Latvian	    10	 0.00
Finnish;Swedish;German;English	    10	 0.00
Finnish;Swedish;Norwegian;Danish	    10	 0.00
French;German	    10	 0.00
German;French;English	    10	 0.00
German;Sami	    10	 0.00
Norwegian;English	    10	 0.00
Sami;Inari Sami;Finnish	    10	 0.00
English;Estonian	     9	 0.00
English;Portuguese	     9	 0.00
Estonian;German	     9	 0.00
Finnish;Latin;Swedish	     9	 0.00
Finnish;Sami;English	     9	 0.00
Finnish;Sanskrit	     9	 0.00
Norwegian;Finnish	     9	 0.00
Sami;Norwegian	     9	 0.00
Sami;Swedish	     9	 0.00
Skolt Sami	     9	 0.00
Spanish;English	     9	 0.00
Armenian	     8	 0.00
English;French;Spanish	     8	 0.00
English;Hebrew	     8	 0.00
English;Norwegian	     8	 0.00
Finnish;English;French;German	     8	 0.00
Finnish;Norwegian;English	     8	 0.00
Finnish;Russian;Swedish	     8	 0.00
Finnish;Swahili	     8	 0.00
Finnish;Swedish;English;Multiple languages	     8	 0.00
Finno-Ugrian (Other);Russian	     8	 0.00
Hebrew;Finnish	     8	 0.00
Latin;Dutch	     8	 0.00
Latin;German;Swedish	     8	 0.00
Latin;Swedish;German	     8	 0.00
Romani;Finnish	     8	 0.00
Russian;French	     8	 0.00
Somali;Finnish	     8	 0.00
Swedish;English;Danish	     8	 0.00
Swedish;Finnish;German	     8	 0.00
Swedish;Latin;Greek, Ancient (to 1453)	     8	 0.00
Swedish;Multiple languages	     8	 0.00
Ukrainian;Finnish	     8	 0.00
Danish;Norwegian	     7	 0.00
English;Greek, Ancient (to 1453)	     7	 0.00
Finnish;Croatian	     7	 0.00
Finnish;German;Swedish	     7	 0.00
Finnish;Russian;Latin	     7	 0.00
Finnish;Swedish;Esperanto	     7	 0.00
Finnish;Swedish;Estonian	     7	 0.00
Finnish;Swedish;Italian	     7	 0.00
Galician	     7	 0.00
Hungarian;English	     7	 0.00
Japanese;English	     7	 0.00
Latin;Finnish;Swedish	     7	 0.00
Latin;Hebrew;Swedish	     7	 0.00
Latin;Spanish	     7	 0.00
Latvian;Finnish	     7	 0.00
Northern Sami;Sami	     7	 0.00
Romani	     7	 0.00
Russian;Latin	     7	 0.00
Swedish;English;Danish;Norwegian	     7	 0.00
Danish;Finnish	     6	 0.00
Danish;Norwegian;Swedish;English	     6	 0.00
English;Swahili	     6	 0.00
Erzya	     6	 0.00
Finnish;Bulgarian	     6	 0.00
Finnish;French;Swedish	     6	 0.00
Finnish;Icelandic	     6	 0.00
Finnish;Karelian;Russian	     6	 0.00
Finnish;Swedish;Danish;Norwegian;English	     6	 0.00
Finnish;Swedish;English;German;French;Spanish;Russian;Estonian	     6	 0.00
Finno-Ugrian (Other);Finnish	     6	 0.00
French;English;Finnish	     6	 0.00
French;English;German	     6	 0.00
French;Latin	     6	 0.00
French;Russian	     6	 0.00
French;Spanish	     6	 0.00
German;French;Russian	     6	 0.00
German;Russian	     6	 0.00
Germanic (Other)	     6	 0.00
Latin;Finnish;English	     6	 0.00
Norwegian (Bokmål)	     6	 0.00
Norwegian;Danish	     6	 0.00
Swedish;Finnish;Russian	     6	 0.00
Swedish;French;German	     6	 0.00
Swedish;Greek, Ancient (to 1453)	     6	 0.00
Swedish;Norwegian;Danish;English	     6	 0.00
Welsh	     6	 0.00
Czech;Finnish	     5	 0.00
Danish;Finnish;Norwegian;Swedish	     5	 0.00
Danish;Swedish;English	     5	 0.00
Dutch;Finnish	     5	 0.00
English;Finnish;German	     5	 0.00
English;Greek, Modern (1453-)	     5	 0.00
English;Polish	     5	 0.00
Estonian;Russian	     5	 0.00
Finnish;Aramaic	     5	 0.00
Finnish;English;Arabic	     5	 0.00
Finnish;English;French;Russian	     5	 0.00
Finnish;English;German;French;Spanish	     5	 0.00
Finnish;English;Russian;German;French;Serbian	     5	 0.00
Finnish;Estonian;Russian	     5	 0.00
Finnish;German;Russian	     5	 0.00
Finnish;Hebrew;Aramaic	     5	 0.00
Finnish;Inari Sami	     5	 0.00
Finnish;Norwegian;English;Russian	     5	 0.00
Finnish;Sami;Skolt Sami	     5	 0.00
Finnish;Slovak	     5	 0.00
Finnish;Swedish;English;German;French;Russian;Spanish	     5	 0.00
Finnish;Swedish;English;Latin	     5	 0.00
Finnish;Swedish;Norwegian;English;German	     5	 0.00
Finnish;Udmurt	     5	 0.00
French;Dutch	     5	 0.00
German;English;Finnish	     5	 0.00
German;Finnish;Swedish	     5	 0.00
German;Sumerian	     5	 0.00
Indic (Other)	     5	 0.00
Italian;Latin	     5	 0.00
Latin;Arabic	     5	 0.00
Latin;Hebrew;Greek, Ancient (to 1453)	     5	 0.00
Latin;Italian	     5	 0.00
Latvian;English	     5	 0.00
Norwegian;Sami;English	     5	 0.00
Russian;Finnish;Swedish	     5	 0.00
Sami;Inari Sami;English	     5	 0.00
Swedish;English;French	     5	 0.00
Swedish;Estonian	     5	 0.00
Swedish;Finnish;Latin	     5	 0.00
Swedish;Spanish	     5	 0.00
Thai;Finnish	     5	 0.00
Vietnamese;Finnish	     5	 0.00
Arabic;English	     4	 0.00
Basque	     4	 0.00
Chinese;English	     4	 0.00
Dutch;English	     4	 0.00
Dutch;Esperanto	     4	 0.00
English;Bulgarian	     4	 0.00
English;Finnish;Swedish;German	     4	 0.00
English;Finnish;Swedish;Norwegian;Danish;Icelandic	     4	 0.00
English;German;Finnish	     4	 0.00
English;Sami	     4	 0.00
English;Sanskrit	     4	 0.00
Estonian;Finnish;English	     4	 0.00
Finnish;Danish;English	     4	 0.00
Finnish;English;Dutch	     4	 0.00
Finnish;English;French;German;Swedish	     4	 0.00
Finnish;English;French;Swedish	     4	 0.00
Finnish;English;German;Italian	     4	 0.00
Finnish;English;German;Japanese	     4	 0.00
Finnish;English;German;Russian;Hungarian;Estonian;Finno-Ugrian (Other)	     4	 0.00
Finnish;English;Hungarian	     4	 0.00
Finnish;Galician	     4	 0.00
Finnish;Indonesian	     4	 0.00
Finnish;Latin;French	     4	 0.00
Finnish;Mari	     4	 0.00
Finnish;Sami;Norwegian	     4	 0.00
Finnish;Swedish;English;French;Russian	     4	 0.00
Finnish;Swedish;English;Italian	     4	 0.00
Finnish;Swedish;Norwegian;English;German;French	     4	 0.00
Finnish;Swedish;Sami;English	     4	 0.00
Finnish;Swedish;Spanish	     4	 0.00
Finno-Ugrian (Other);German	     4	 0.00
Finno-Ugrian (Other);German;Russian	     4	 0.00
French, Old (ca. 842-1300)	     4	 0.00
Georgian	     4	 0.00
German;Finnish;English;French	     4	 0.00
German;Greek, Ancient (to 1453)	     4	 0.00
Greek, Modern (1453-);English	     4	 0.00
Hindi	     4	 0.00
Icelandic;Finnish	     4	 0.00
Inari Sami;Sami;English	     4	 0.00
Indo-European (Other);Finnish	     4	 0.00
Latin;Greek, Ancient (to 1453);German	     4	 0.00
Malay	     4	 0.00
Norwegian;Sami	     4	 0.00
Polish;English	     4	 0.00
Romanian;English	     4	 0.00
Russian;English;Finnish	     4	 0.00
Russian;Finnish;Multiple languages	     4	 0.00
Russian;German	     4	 0.00
Sami;Northern Sami;Norwegian	     4	 0.00
Sami;Norwegian;Finnish	     4	 0.00
Skolt Sami;Finnish	     4	 0.00
Somali;English	     4	 0.00
Swedish;Danish;Icelandic;Norwegian	     4	 0.00
Swedish;English;Russian	     4	 0.00
Swedish;Finnish;Norwegian	     4	 0.00
Swedish;German;French;Latin	     4	 0.00
Swedish;German;Latin	     4	 0.00
Swedish;Latin;Finnish	     4	 0.00
Swedish;Norwegian;Danish;Icelandic	     4	 0.00
Swedish;Undetermined	     4	 0.00
Afrikaans;Ndonga	     3	 0.00
Afroasiatic (Other);English	     3	 0.00
Bulgarian;Finnish	     3	 0.00
Croatian;Finnish	     3	 0.00
Danish;Finnish;English	     3	 0.00
Danish;Finnish;Swedish	     3	 0.00
Danish;German	     3	 0.00
Danish;Swedish;Finnish	     3	 0.00
Dutch;German	     3	 0.00
English;Finnish;Danish	     3	 0.00
English;Finnish;Multiple languages	     3	 0.00
English;French;German;Finnish	     3	 0.00
English;French;German;Italian	     3	 0.00
English;German;French;Danish	     3	 0.00
English;German;French;Italian	     3	 0.00
English;German;French;Japanese	     3	 0.00
English;German;French;Swedish	     3	 0.00
English;German;Spanish	     3	 0.00
English;German;Swedish;Finnish	     3	 0.00
English;Indic (Other)	     3	 0.00
English;Korean	     3	 0.00
English;Latvian	     3	 0.00
English;Mongolian	     3	 0.00
