melinda_id	original	publication_year	Count
(FI-MELINDA)005615616	200u-9999	NA	1
(FI-MELINDA)003021633	uuuu	NA	1
(FI-MELINDA)002981820	2002-2000	NA	1
(FI-MELINDA)002981388	uuuu	NA	1
(FI-MELINDA)013197923	201u	NA	1
(FI-MELINDA)012267756	199u-9999	NA	1
(FI-MELINDA)006826994	200u-9999	NA	1
(FI-MELINDA)005912928	19uu	NA	1
(FI-MELINDA)005907824	1916-1900	NA	1
(FI-MELINDA)005905460	200u-9999	NA	1
(FI-MELINDA)005905152	1942-1900	NA	1
(FI-MELINDA)005905120	1919-1900	NA	1
(FI-MELINDA)005903511	1907-1900	NA	1
(FI-MELINDA)005902638	200u-9999	NA	1
(FI-MELINDA)005900139	1933-1900	NA	1
(FI-MELINDA)005900138	1933-1900	NA	1
(FI-MELINDA)005899446	197u-9999	NA	1
(FI-MELINDA)005890307	199u-9999	NA	1
(FI-MELINDA)005890282	uuuu	NA	1
(FI-MELINDA)005890279	uuuu	NA	1
(FI-MELINDA)005886694	1975-1900	NA	1
(FI-MELINDA)005864534	19uu	NA	1
(FI-MELINDA)005851895	2005-2000	NA	1
(FI-MELINDA)005851673	2002-2000	NA	1
(FI-MELINDA)005851145	1915-1900	NA	1
(FI-MELINDA)011323856	19uu-19uu	NA	1
(FI-MELINDA)000972266	uuuu	NA	1
(FI-MELINDA)000971816	uuuu	NA	1
(FI-MELINDA)000971803	uuuu	NA	1
(FI-MELINDA)000971801	uuuu	NA	1
(FI-MELINDA)000971769	uuuu	NA	1
(FI-MELINDA)000971734	uuuu	NA	1
(FI-MELINDA)000971708	uuuu	NA	1
(FI-MELINDA)000971689	uuuu	NA	1
(FI-MELINDA)000971684	uuuu	NA	1
(FI-MELINDA)000971674	uuuu	NA	1
(FI-MELINDA)000971647	uuuu	NA	1
(FI-MELINDA)000971584	1977-1900	NA	1
(FI-MELINDA)000971404	uuuu	NA	1
(FI-MELINDA)000967972	2001-2000	NA	1
(FI-MELINDA)000822172	1914-1900	NA	1
(FI-MELINDA)002318056	uuuu	NA	1
(FI-MELINDA)000814214	1912-1900	NA	1
(FI-MELINDA)005675381	9207	NA	1
(FI-MELINDA)005654393	2008-2000	NA	1
(FI-MELINDA)005652046	1886-1885	NA	1
(FI-MELINDA)012220148	2099	NA	1
(FI-MELINDA)002808502	1978-1900	NA	1
(FI-MELINDA)003332867	2001-2000	NA	1
(FI-MELINDA)006572704	uuuu	NA	1
(FI-MELINDA)006572610	9209	NA	1
(FI-MELINDA)006572609	9209	NA	1
(FI-MELINDA)006572606	9207	NA	1
(FI-MELINDA)006572603	9207	NA	1
(FI-MELINDA)006572602	9207	NA	1
(FI-MELINDA)006572601	9207	NA	1
(FI-MELINDA)006572600	9207	NA	1
(FI-MELINDA)006532407	uuuu	NA	1
(FI-MELINDA)006531713	19uu	NA	1
(FI-MELINDA)005240321	2004-2000	NA	1
(FI-MELINDA)000688442	uuuu	NA	1
(FI-MELINDA)000681054	1943-1900	NA	1
(FI-MELINDA)000679446	1988-1987	NA	1
(FI-MELINDA)000807402	1986-1900	NA	1
