original	language_count	multilingual	languages	language_primary	Count	Percentage
Swedish;Danish;Norwegian	 3	TRUE	Swedish;Danish;Norwegian	Swedish	    4	0.01
Swedish;Finnish;English	 3	TRUE	Swedish;Finnish;English	Swedish	    3	0
Swedish;Persian	 2	TRUE	Swedish;Persian	Swedish	    3	0
Swedish;Russian;Finnish	 3	TRUE	Swedish;Russian;Finnish	Swedish	    3	0
English;German;French;Swedish	 4	TRUE	English;German;French;Swedish	English	    3	0
Swedish;Finnish;Latin	 3	TRUE	Swedish;Finnish;Latin	Swedish	    3	0
Hungarian;Finnish	 2	TRUE	Hungarian;Finnish	Hungarian	    3	0
German;Finno-Ugrian (Other)	 2	TRUE	German;Finno-Ugrian (Other)	German	    3	0
Northern Sami	 1	FALSE	Northern Sami	Northern Sami	    3	0
Swedish;Finnish;French	 3	TRUE	Swedish;Finnish;French	Swedish	    3	0
Finnish;Swedish;English;German;French	 5	TRUE	Finnish;Swedish;English;German;French	Finnish	    3	0
Finnish;Greek, Modern (1453-)	 2	TRUE	Finnish;Greek, Modern (1453-)	Finnish	    3	0
Finnish;Danish	 2	TRUE	Finnish;Danish	Finnish	    3	0
German;Finnish;Swedish;English;French;Danish;Norwegian	 7	TRUE	German;Finnish;Swedish;English;French;Danish;Norwegian	German	    3	0
Ndonga	 1	FALSE	Ndonga	Ndonga	    3	0
Catalan	 1	FALSE	Catalan	Catalan	    2	0
Swedish;Estonian	 2	TRUE	Swedish;Estonian	Swedish	    2	0
Norwegian;German	 2	TRUE	Norwegian;German	Norwegian	    2	0
Estonian;Finnish	 2	TRUE	Estonian;Finnish	Estonian	    2	0
Swedish;Persian;Latin	 3	TRUE	Swedish;Persian;Latin	Swedish	    2	0
Swedish;Finnish;English;German	 4	TRUE	Swedish;Finnish;English;German	Swedish	    2	0
Sami;Finnish	 2	TRUE	Sami;Finnish	Sami	    2	0
Swedish;Greek, Ancient (to 1453)	 2	TRUE	Swedish;Greek, Ancient (to 1453)	Swedish	    2	0
Russian;German	 2	TRUE	Russian;German	Russian	    2	0
Russian;Church Slavic	 2	TRUE	Russian;Church Slavic	Russian	    2	0
English;Swedish	 2	TRUE	English;Swedish	English	    2	0
Swedish;Danish	 2	TRUE	Swedish;Danish	Swedish	    2	0
French;German;Russian	 3	TRUE	French;German;Russian	French	    2	0
English;French	 2	TRUE	English;French	English	    2	0
Greek, Ancient (to 1453);Swedish	 2	TRUE	Greek, Ancient (to 1453);Swedish	Greek, Ancient (to 1453)	    2	0
Swedish;English;German;French	 4	TRUE	Swedish;English;German;French	Swedish	    2	0
Finnish;Swedish;German;English	 4	TRUE	Finnish;Swedish;German;English	Finnish	    2	0
Finnish;English;German;Swedish	 4	TRUE	Finnish;English;German;Swedish	Finnish	    2	0
Finnish;Swedish;English;Russian	 4	TRUE	Finnish;Swedish;English;Russian	Finnish	    2	0
Swedish;Germanic (Other)	 2	TRUE	Swedish;Germanic (Other)	Swedish	    2	0
English;French;German	 3	TRUE	English;French;German	English	    2	0
Finnish;German;Russian	 3	TRUE	Finnish;German;Russian	Finnish	    2	0
Russian;Karelian	 2	TRUE	Russian;Karelian	Russian	    2	0
Swedish;French;German;Russian	 4	TRUE	Swedish;French;German;Russian	Swedish	    2	0
