Name	Count
impressa â Petro Hansson Acad. typogr.,	     3
impressa apud viduam Reg. Acad. typ. J. C. Frenckell.,	     3
impressa apud viduam Reg. Acad. typogr. Joh. C. Frenckell,	     3
Industriidkarenes i Finland Ömsesidiga Brandstodsförening,	     3
Industriidkarenes i Finland ömsesidiga olycksfallsförsäkringsförening,	     3
J. Gummerus i distr,	     3
Kouluhallitus, aikuiskasvatusosasto,	     3
Lantbrukets informationscentral,	     3
Latvijas valsts izdevniecība,	     3
Lutherska evangeliföreningens i Finland förlag,	     3
Ministry for Foreign Affairs in Finland,	     3
National Network University for East and Southeast Asian Studies, co-ordination Unit,	     3
Slöjdkompetens i nordisk kultur :|Åbo Akademi, institutionen för lärarutbildning, slöjdpedagogik [jakaja],	     3
Svenska baptisternas i Finland konferens,	     3
Tampere University of Technology, Faculty of Business and Technology Management,	     3
Turun yliopisto, täydennyskoulutuskeskus, avoin korkeakouluopetus,	     3
University of Jyväskylä, School of Business and Economics,	     3
[excusa â Petro Hansonio, Acad. typog.,	     2
[Forest and Park Service],	     2
[Handelssocietetens i Åbo],	     2
[Huvudstabens informationsavdelning],	     2
[impress. apud viduam Reg. Acad. typ. J. C. Frenckell],	     2
[Ömsesidiga kreatursförsäkringsbolagets i Finland],	     2
[Oravais idrottsförening],	     2
[Sågägarnas i Finland ömsesidiga brandförsäkringsbolag],	     2
[Svenska teaterföreningens i Finland teaterbibliotek],	     2
[Vasa arbetarinstitut. Hembygdsforskargruppen],	     2
Ålands internationella idrottsorganisation,	     2
and are to be sold by George West and Amos Curtein,	     2
Arbetsgivarenas i Finland ömsesidiga strejkförsäkringsbolag,	     2
Arbetsgivarnas i Finland allmänna grupp,	     2
Avalon press and Collins,	     2
Bank of Finland, Institute for Ecomomies in Transition,	     2
Byggnads-, byggmaterial- och träindustriarbetarnas internationella förbund,	     2
Byrån för statens lån vid Statens informationsverk,	     2
Centrālās savienības "Konzums" kopdarbības nodaļas izdevums,	     2
Centralhandelskammarens i Finland,	     2
Centre for Finnish Business and Policy Studies,	     2
Esbo stads informationsbyrå,	     2
Espoon kaupunkisuunnittelukeskus, asunto-ohjelmayksikkö,	     2
excus: à Joh. Winter, Reg. typogr.,	     2
excus. apud viduam Hans. A. t.,	     2
excus. apud viduam Hanssonii,	     2
excusa à Iohanne Winter, Reg: typogr. Finlandiae,	     2
excusa â Joh. Waldio, Acad. typogr.,	     2
excusa â Joh. Wallio, A. t.,	     2
excusa à Joh. Winter,	     2
excusa â Joh. Winter, Reg. typ.,	     2
excusa â Johanne L. Wallio Reg. Academiae ibid. typogr.,	     2
excusa â Johanne L. Wallio, Acad. typogr.,	     2
excusa â Johanne L. Wallio, Reg. Academiae ibid. typogr.,	     2
excusa â Johanne Laur. Wallio, Regiae Univ. ibid. typogr.,	     2
excusa à Johanne Wald Acad. typogr.,	     2
excusa à Johanne Waldio Academ. typograph.,	     2
excusa â Johanne Waldio, Acad. typogr.,	     2
excusa â Johanne Waldio, Academiae typographo,	     2
excusa à Johanne Winter, Reg: typogr.,	     2
excusa a Johanne Winter, Reg. typogr.,	     2
excusa à Johanne Winter, Regio typographo,	     2
excusa â Johanne Winter, s: r: m:tis in Finlandiâ typographo,	     2
excusa â Johanne Winter, s. r. m:tis in Finlandiâ typographo,	     2
excusa â Petro Hanson, Acad: typ.,	     2
excusa â Petro Hansonio, A. t.,	     2
excusa â Petro Hansonio, Ac. t.,	     2
excusa â Petro Hansonio. Acad. typ.,	     2
excusa à Petro Hansson Acad. typog.,	     2
excusa â Petro Hanzonio [!], Acad. typogr.,	     2
excusa âPetro Hansonio, Acad. typog.,	     2
excusa apud Joh. Wallium, A. t.,	     2
excusa apud Petr. Hanson. Acad. typogr.,	     2
excusa apud Petrum Hansonium, Acad. typogr.,	     2
excusa apud Petrum Wald,	     2
excusa apud viduam b. Hansonii, Acad. typogr.,	     2
excusa apud viduam Hanssonii, Acad. typogr.,	     2
Fédération des industries forestières finlandaises,	     2
