Name	Count
Kirjatieto 3 -1972	   41
Rautatiet 7 -1972	   41
K.Henkilökirj. -1972|Käsifilmistö - filmikortit	   40
Rv Diss. dupl.	   40
Suom. kaunokirj. 1. -1972	   40
Arkkiveisut	   39
Helsingin yliopisto 15 -1972	   39
K. Teologia -1972|Mf.	   38
Klass. kielit. 2 -1972	   38
K.Kansanopetus -1972|Mf.	   37
K.Matematiikka -1972|Mf.	   37
Diss. Ulk. -1972	   36
Heng. seurat 2 -1972	   36
Kom. miet. 2. -1972	   36
Lait 2 Lilla -1972	   36
Mf.|K.Hartauskirj. -1972	   36
Kunn. hall. 3 -1972	   35
Naisasia 3 -1972|Käsifilmistö - filmikortit	   35
Ruots. kaunokirj. 5 -1972|Käsifilmistö - filmikortit	   35
Siv.seur.: Svenska folkskolans vänner -1972	   35
Puolueet: Nuorsuom. -1972|Käsifilmistö - filmikortit	   34
Puolustus 7 B -1972	   34
Raittius 3. -1972|Käsifilmistö - filmikortit	   34
Vakuutus 3 -1972	   34
Engl. kielit. -1972	   33
Heng. laulukirj. 1 -1972	   33
K.Metsänhoito -1972|Mf.	   33
K.Vakuutus -1972|Mf.	   33
Merenkulku 3 -1972	   33
Musiikki 4 -1972|Käsifilmistö - filmikortit	   33
Rv Asetukset	   33
Suom. lastenkirj. 3 -1972	   33
Käsifilmistö - mikrokortit	   32
Katekism. 2 -1972	   32
Kotitalous 3 -1972	   32
Meijeritalous 3 -1972	   32
Metsänhoito 2 -1972	   32
Suom. kaunokirj. 1|Käsifilmistö - mikrokortit	   32
Hydrogr. -1972	   31
III.1/112	   31
K.Hartauskirj.	   31
Katekism. 1 -1972	   31
Pienkarjanhoito 2 -1972	   31
Suom. lastenkirj. 3	   31
Maanviljelys 2 C -1972	   30
Musiikki 2 -1972	   30
Rautatiet 3 -1972	   30
Ruots. kaunokirj. 4 -1972	   30
Tiet. seur.: Geologinen toimikunta -1972	   30
Alkukoulut 3 -1972	   29
K. Kirkkohistoria -1972|Mf.	   29
K.Kauppa -1972|Mf.	   29
K.Kirj.hist. -1972|Mf.	   29
K.Suom.hist. -1972|Käsifilmistö - filmikortit	   29
Lait 2 Pieni -1972	   29
Puolueet: Suomal. -1972|Käsifilmistö - filmikortit	   29
Työväenkysymys 3 -1972|Käsifilmistö - filmikortit	   29
Alkukoulut 2 -1972	   28
Kasvatusoppi 3	   28
Maantiede 1. -1972|Käsifilmistö - filmikortit	   28
Rv Diss. tripl.	   28
Suom. kaunokirj. 3, Kirjan 50 pennin kirjasto -1972	   28
Suom. lastenkirj. 2	   28
Suom. sukututkimus 2 -1972	   28
Suom.kaunokirj.1 -1972|Käsifilmistö - filmikortit	   28
Työväenkys. 2 -1972	   28
Aapiset 1 -1972|Käsifilmistö - filmikortit	   27
Aapiset 1|Käsifilmistö - filmikortit	   27
Eläinlääkintä 3 -1972	   27
Kauppa 3 -1972	   27
Klass. kielit. 1 -1972	   27
Mf.|K.Hartauskirj -1972	   27
Pienpainatekokoelma V (Alku- ja pyhäkoulut)	   27
Suom. elämäkerrat 1 -1972	   27
Teollisuus 2 -1972	   27
Valtio-oppi 3 -1972	   27
K. Oopperatekstit -1972|Mf.	   26
Kansanopistot 2 -1972	   26
Kasvatusoppi 3 Koti -1972	   26
Opuscula -1972	   26
Rahalaitokset 7 -1972	   26
K.Suomi-Venäjä, Estl. -1972|Käsifilmistö - filmikortit	   25
Katekism. 2	   25
Kunn. hall. 7	   25
Pienpainatekokoelma -1972	   25
Rautatiet 4 -1972	   25
III.3.b/51	   24
Urheilu 2 -1972	   24
Käsifilmistö - filmikortit|Suom. kaunokirj. 1	   23
Kirkkohist. -1972	   23
Lait 2 Otavan -1972	   23
Maantiede 1	   23
Rahalaitokset 8 -1972	   23
Senaatti -1972	   23
Tiet. seur.: Kansantal. yhdistys -1972	   23
Vierask. kaunokirj. 2	   23
XVII Puolueet Svenska folkpartiet Kirjaset	   23
Heng. laulukirj. 1. -1972	   22
Heng. seurat 1 -1972	   22
K. Suom. kaunokirj. -1972|Käsifilmistö - filmikortit	   22
Lait 1 -1972	   22
Rv Diss. ulk.	   22
Suom. hist. 3 -1972|nan	   22
Suom. lastenkirj. 4	   22
Tiet. seur.: Vanamo -1972	   22
Vakuutus 6 -1972	   22
Farmasia 3 -1972	   21
K. Maanviljelys 2 -1972|Mf.	   21
Musiikki 5 -1972	   21
Raamatut 4 -1972	   21
Taide 3 -1972	   21
Fysiikka	   20
III.1/113	   20
K. Amerikka 2 -1972	   20
K. Eläintiede -1972|Mf.	   20
K. Kauppa -1972|Mf.	   20
K. Matematiikka -1972|Mf.	   20
Lait 2 Edlund -1972	   20
Metsästys 3 -1972	   20
R.Foliot	   20
