melinda_id	original	publication_year	Count
(FI-MELINDA)016563725	2120-	NA	1
(FI-MELINDA)016511997	2120-	NA	1
(FI-MELINDA)016212067	2029-2019	NA	1
(FI-MELINDA)016211809	2119-	NA	1
(FI-MELINDA)001533963	92-uuuu	NA	1
(FI-MELINDA)006392452	-	NA	1
(FI-MELINDA)006192981	9206-	NA	1
(FI-MELINDA)000785873	1993-1990	NA	1
(FI-MELINDA)000779452	1965-1900	NA	1
(FI-MELINDA)000777502	199u-9999	NA	1
(FI-MELINDA)005351164	1980-1900	NA	1
(FI-MELINDA)005351163	1980-1900	NA	1
(FI-MELINDA)005351162	1980-1900	NA	1
(FI-MELINDA)005351161	1980-1900	NA	1
(FI-MELINDA)005351160	1980-1900	NA	1
(FI-MELINDA)005351159	1980-1900	NA	1
(FI-MELINDA)005351158	1980-1900	NA	1
(FI-MELINDA)005351156	1980-1900	NA	1
(FI-MELINDA)005351155	1980-1900	NA	1
(FI-MELINDA)009372536	    -    	NA	1
(FI-MELINDA)009370646	uuuu-	NA	1
(FI-MELINDA)001261887	uuuu-uuuu	NA	1
75738	uuuu-uuuu	NA	1
(FI-MELINDA)001261853	uuuu-uuuu	NA	1
110674	uuuu-uuuu	NA	1
(FI-MELINDA)001261313	1971-1900	NA	1
(FI-MELINDA)000940718	uuuu-	NA	1
(FI-MELINDA)007332617	1919-1900	NA	1
(FI-MELINDA)000638364	89-uuuu	NA	1
(FI-MELINDA)000678668	1918-1900	NA	1
(FI-MELINDA)000678256	1983-1900	NA	1
(FI-MELINDA)000678221	1985-1900	NA	1
(FI-MELINDA)000678162	1980-1900	NA	1
(FI-MELINDA)000678092	1970-1900	NA	1
(FI-MELINDA)000678091	1980-1900	NA	1
(FI-MELINDA)000677969	1970-1900	NA	1
(FI-MELINDA)000677859	1982-1900	NA	1
(FI-MELINDA)000677816	1984-1900	NA	1
(FI-MELINDA)000677791	1984-1900	NA	1
(FI-MELINDA)000677788	1981-1900	NA	1
(FI-MELINDA)000677787	1984-1900	NA	1
(FI-MELINDA)000677449	1979-1900	NA	1
(FI-MELINDA)000677448	1980-1900	NA	1
(FI-MELINDA)000677447	1979-1900	NA	1
(FI-MELINDA)000677446	1980-1900	NA	1
(FI-MELINDA)000677444	1983-1900	NA	1
(FI-MELINDA)000677296	1981-1900	NA	1
(FI-MELINDA)000676953	1932-1900	NA	1
(FI-MELINDA)000676911	1974-1900	NA	1
(FI-MELINDA)000676896	1981-1900	NA	1
(FI-MELINDA)000676895	1981-1900	NA	1
