melinda_id;original;cleaned;converted;udk_count
003680327;347.7;347.7;Kauppaoikeus. Yhtiöoikeus. Immateriaalioikeus. Tekijänoikeus;1
003680400;;NA;NA;0
003680402;;NA;NA;0
003680412;;NA;NA;0
003680447;;NA;NA;0
003680469;;NA;NA;0
003680509;;NA;NA;0
003680569;;NA;NA;0
003680570;;NA;NA;0
003680571;;NA;NA;0
003680572;;NA;NA;0
003680576;;NA;NA;0
003680581;;NA;NA;0
003680583;;NA;NA;0
003680584;;NA;NA;0
003680588;;NA;NA;0
003680596;;NA;NA;0
003680597;;NA;NA;0
003680604;894.541;894.541;Suomenkielinen kirjallisuus;1
003680753;;NA;NA;0
003680756;;NA;NA;0
003680757;;NA;NA;0
003680783;;NA;NA;0
003680791;;NA;NA;0
003680877;78;78;Musiikki - kansanmusiikki: 78 ja 39 ;1
003680914;;NA;NA;0
003680915;;NA;NA;0
003680919;;NA;NA;0
003680926;;NA;NA;0
003680932;;NA;NA;0
003680935;;NA;NA;0
003680938;;NA;NA;0
003682131;;NA;NA;0
003683060;;NA;NA;0
003683336;948.0|940;948.0;940;Suomen historia;Euroopan historia;2
003684536;355/359|929 Bladh|948.0;355/359;929;948.0;Sotataito. Sotatiede. Maanpuolustus;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Suomen historia;3
003685519;;NA;NA;0
003689457;;NA;NA;0
003690074;;NA;NA;0
003690597;33;33;Kansantalous. Kansantaloustiede;1
003691304;53;53;Fysiikka;1
003691605;;NA;NA;0
003692127;;NA;NA;0
003692141;372;372;Esikouluopetus. Aineopetus;1
003693101;894.541;894.541;Suomenkielinen kirjallisuus;1
003694792;;NA;NA;0
003694809;;NA;NA;0
003694984;;NA;NA;0
003695366;372.864|643/649;372.864;643/649;Undetermined;Kodinhoito. Kodinsisustus. Siivous. Lastenhoito. Kauneudenhoito. Vaatehuolto. Kiinteistönhoito ;2
003695928;334.1/.6;334.1/.6;Undetermined;1
003696485;;NA;NA;0
003697524;82.08;82.08;Undetermined;1
003697528;;NA;NA;0
003697849;;NA;NA;0
003697871;;NA;NA;0
003697872;;NA;NA;0
003697873;;NA;NA;0
003698205;801.3;801.3;Sanakirjat;1
003699346;894.541;894.541;Suomenkielinen kirjallisuus;1
003704244;;NA;NA;0
003705102;517.5|517.53;517.5;517.53;Undetermined;Undetermined;2
003710084;24|28;24;28;Kristillinen etiikka. Kristillinen taide. Hymnologia. Hartaus. Mystiikka. Askeesi. Uskonnolliset kokemukset ;Kristilliset kirkot. Kristilliset yhteisöt. Kristillisperäiset yhteisöt;2
003710638;78.071 Lind|78.071.2|929 Lind, Jenny;78.071;78.071.2;929,;Undetermined;Undetermined;Undetermined;3
003712567;;NA;NA;0
003712676;378.014.15|378.4|378.4;378.014.15;378.4;Undetermined;Yliopistot;2
003714066;297|929 Muhammed;297;929;Undetermined;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;2
003716958;;NA;NA;0
003717441;33|334|631.1;33;334;631.1;Kansantalous. Kansantaloustiede;Osuustoiminta. Kauppakamarit;Maatilan hoito ja organisointi (maatalousekonomia);3
003717570;929 Lencqvist|929;929;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;1
003717603;339.5/.9|336.2|948.0|339|339.5|339.543;339.5/.9;336.2;948.0;339;339.5;339.543;Ulkomaankauppa. Kansainvälinen kauppa. Kauppapolitiikka. Tullit. Kansainväliset taloussuhteet. Maailmantalous;Verotus;Suomen historia;Kauppa ;Valtioiden välinen kauppa. Ulkomaankauppa. Kansainvälinen kauppa;Undetermined;6
003719788;;NA;NA;0
003720351;;NA;NA;0
003721199;;NA;NA;0
003721200;159.9|37;159.9;37;Psykologia;Kasvatus. Opetus. Koulutus;2
003721687;809.454.1;809.454.1;Suomen kieli;1
