melinda_id	id2	field008_6	publication_status	original	publication_year
019334333	FCC019334333	d	Continuing resource ceased publication	1943 1941	NA
019336127	FCC019336127	d	Continuing resource ceased publication	1944 1900	NA
019336171	FCC019336171	d	Continuing resource ceased publication	1912 1900	NA
019336274	FCC019336274	d	Continuing resource ceased publication	1926 1925	NA
019336560	FCC019336560	d	Continuing resource ceased publication	1906 1900	NA
019338599	FCC019338599	q	Questionable date	19uu	NA
019344701	FCC019344701	r	Reprint/reissue date and original date	17uu	NA
019348324	FCC019348324	r	Reprint/reissue date and original date	16uu	NA
019348361	FCC019348361	r	Reprint/reissue date and original date	17uu	NA
019348363	FCC019348363	r	Reprint/reissue date and original date	17uu	NA
019348365	FCC019348365	r	Reprint/reissue date and original date	????	NA
019349916	FCC019349916	r	Reprint/reissue date and original date	17uu	NA
019352169	FCC019352169	r	Reprint/reissue date and original date	17uu	NA
019352224	FCC019352224	r	Reprint/reissue date and original date	17uu	NA
019353040	FCC019353040	r	Reprint/reissue date and original date	174u	NA
019354543	FCC019354543	r	Reprint/reissue date and original date	17uu	NA
019368165	FCC019368165	r	Reprint/reissue date and original date	174u	NA
019368484	FCC019368484	r	Reprint/reissue date and original date	17uu	NA
019368495	FCC019368495	r	Reprint/reissue date and original date	164u	NA
019368534	FCC019368534	r	Reprint/reissue date and original date	17uu	NA
019368567	FCC019368567	r	Reprint/reissue date and original date	17uu	NA
019368570	FCC019368570	r	Reprint/reissue date and original date	17uu	NA
019369071	FCC019369071	r	Reprint/reissue date and original date	17uu	NA
019369141	FCC019369141	r	Reprint/reissue date and original date	178u	NA
019369145	FCC019369145	r	Reprint/reissue date and original date	17uu	NA
019369171	FCC019369171	r	Reprint/reissue date and original date	uuuu	NA
019369174	FCC019369174	r	Reprint/reissue date and original date	17uu	NA
019371364	FCC019371364	r	Reprint/reissue date and original date	17uu	NA
019371803	FCC019371803	r	Reprint/reissue date and original date	1uuu	NA
019371978	FCC019371978	r	Reprint/reissue date and original date	17uu	NA
019371985	FCC019371985	r	Reprint/reissue date and original date	164u	NA
019371987	FCC019371987	r	Reprint/reissue date and original date	163u	NA
019371996	FCC019371996	r	Reprint/reissue date and original date	173u	NA
019372432	FCC019372432	r	Reprint/reissue date and original date	16uu	NA
019372433	FCC019372433	r	Reprint/reissue date and original date	16uu	NA
019384603	FCC019384603	r	Reprint/reissue date and original date	15uu	NA
019384615	FCC019384615	r	Reprint/reissue date and original date	164u	NA
019384643	FCC019384643	r	Reprint/reissue date and original date	163u	NA
019384649	FCC019384649	r	Reprint/reissue date and original date	163u	NA
019384921	FCC019384921	r	Reprint/reissue date and original date	1uuu	NA
019384933	FCC019384933	r	Reprint/reissue date and original date	17uu	NA
019388263	FCC019388263	r	Reprint/reissue date and original date	173u	NA
019388264	FCC019388264	r	Reprint/reissue date and original date	173u	NA
019388978	FCC019388978	r	Reprint/reissue date and original date	173u	NA
019388979	FCC019388979	r	Reprint/reissue date and original date	17uu	NA
019388986	FCC019388986	r	Reprint/reissue date and original date	164u	NA
019390268	FCC019390268	r	Reprint/reissue date and original date	1uuu	NA
019390275	FCC019390275	r	Reprint/reissue date and original date	1uuu	NA
019390276	FCC019390276	r	Reprint/reissue date and original date	1uuu	NA
019391107	FCC019391107	r	Reprint/reissue date and original date	176u	NA
019391558	FCC019391558	r	Reprint/reissue date and original date	164u	NA
019391560	FCC019391560	r	Reprint/reissue date and original date	17uu	NA
019391562	FCC019391562	r	Reprint/reissue date and original date	171u	NA
019391566	FCC019391566	r	Reprint/reissue date and original date	170u	NA
019392376	FCC019392376	r	Reprint/reissue date and original date	164u	NA
019397978	FCC019397978	r	Reprint/reissue date and original date	163u	NA
019397984	FCC019397984	r	Reprint/reissue date and original date	17uu	NA
019397985	FCC019397985	r	Reprint/reissue date and original date	17uu	NA
019398143	FCC019398143	r	Reprint/reissue date and original date	16uu	NA
019398205	FCC019398205	r	Reprint/reissue date and original date	1uuu	NA
019398223	FCC019398223	r	Reprint/reissue date and original date	1uuu	NA
019399823	FCC019399823	r	Reprint/reissue date and original date	16uu	NA
019400265	FCC019400265	s	Single known date/probable date	||||	NA
019400266	FCC019400266	s	Single known date/probable date	||||	NA
019400268	FCC019400268	s	Single known date/probable date	||||	NA
019400269	FCC019400269	s	Single known date/probable date	||||	NA
019400271	FCC019400271	s	Single known date/probable date	||||	NA
019400272	FCC019400272	s	Single known date/probable date	||||	NA
019400311	FCC019400311	r	Reprint/reissue date and original date	1uuu	NA
019401960	FCC019401960	s	Single known date/probable date	||||	NA
019402781	FCC019402781	s	Single known date/probable date	||||	NA
019406395	FCC019406395	s	Single known date/probable date	||||	NA
019407637	FCC019407637	r	Reprint/reissue date and original date	17uu	NA
019407640	FCC019407640	r	Reprint/reissue date and original date	181u	NA
019407645	FCC019407645	r	Reprint/reissue date and original date	17uu	NA
019407647	FCC019407647	r	Reprint/reissue date and original date	18uu	NA
019407951	FCC019407951	r	Reprint/reissue date and original date	164u	NA
019407987	FCC019407987	r	Reprint/reissue date and original date	163u	NA
019423488	FCC019423488	r	Reprint/reissue date and original date	17uu	NA
019426024	FCC019426024	c	Continuing resource currently published	201u 9999	NA
019442682	FCC019442682	r	Reprint/reissue date and original date	17uu	NA
