Name	Count
FI-Cb Kokemaenjoen	      1
FI-Cb Sjohistoriska	      1
FI-Cb Tandem	      1
FI-Cb Turun	      1
FI-Cb Tyovaen	      1
FI-Cb Tyovoimaministeriö	      1
FI-Cb Yhdyskuntasuunnittelun	      1
FI-Db	      1
FI-Db Bévère;FI-1992- ks. nidetiedot	      1
FI-Db Bévère;FI-2001- ks. nidetiedot;FI-Da3	      1
FI-Dc	      1
FI-Dfa	      1
FI-Diss. HY;FI-Kansatiede	      1
FI-Diss. HY;FI-Kirkkohist	      1
FI-Diss. HY;FI-Maanvilj. 2B	      1
FI-Diss. HY;FI-Pohj. laäket. sarjat	      1
FI-Diss. HY;FI-Puolueet : kommun	      1
FI-Diss. HY;FI-Tiet. seur.: Duodecim	      1
FI-Diss. HY;FI-Tiet. seur.: Geol. toimik	      1
FI-Diss. HY;FI-Tiet. seur.: Soc. pro fauna et flora	      1
FI-Diss. HY;FI-Tiet. seur.: Suom. ekseg. seura	      1
FI-Diss. HY;FI-Tiet. seur.: Suom. kirkkohist. seura	      1
FI-Diss. HY;FI-Tiet. seur.: Suom. tiedeakatemia	      1
FI-Diss. JY;FI-Jyvaskylän yliopisto 1	      1
FI-Diss. OY	      1
FI-Diss. Tekn	      1
FI-Diss. Tekn.;FI-Teollisuus 3	      1
FI-Diss. TY;FI-Pohj. laäket. sarjat	      1
FI-Ea Suomela	      1
FI-Ea Virtanen	      1
FI-Ea;FI-Ca	      1
FI-Ea;FI-Da	      1
FI-Ea;FI-Eea	      1
FI-Eb;FI-Eeb	      1
FI-Ec	      1
FI-Ec Hbavio	      1
FI-Ec;FI-1993- ks. nidetiedot;FI-Dc3	      1
FI-Eea Tuominen	      1
FI-Ekm;FI-Ekm;FI-Ekm	      1
FI-Engl. kielit	      1
FI-f20004507	      1
FI-f20004508	      1
FI-f20004538	      1
FI-f20004539	      1
FI-f964519	      1
FI-f964521	      1
FI-f964610	      1
FI-f974530	      1
FI-f974610	      1
FI-f974675	      1
FI-f974676	      1
FI-Fa;FI-Ba	      1
FI-Fa;FI-Ca Helsingin	      1
FI-Ga Hbila	      1
FI-Ga;FI-1992- ks. nidetiedot;FI-Ea3	      1
FI-Ga;FI-Ea3	      1
FI-Ga;FI-Maantiede 1	      1
FI-Gd	      1
FI-Germ. kielit.;FI-Ga	      1
FI-Gt;FI-Vm	      1
FI-Hbllinto	      1
FI-Hbrtauskirj.;FI-Ec3;FI-Ec;FI-1992- ks. nidetiedot	      1
FI-He	      1
FI-He;FI-Mm	      1
FI-Hutti	      1
FI-Jm;FI-Mm	      1
FI-Jyvaskylän yliopisto 1	      1
FI-K. Genealogia	      1
FI-K. Karjanhoito	      1
FI-K. Kemia	      1
FI-K. Kiel.,uudet	      1
FI-K. Kirjastot 2;FI-K.Kirjastot 1	      1
FI-K. Puolustus	      1
FI-K. Saarnakirjallisuus	      1
FI-K. Suom. hist	      1
FI-K. Suom. kaunokirj. 1	      1
FI-K. Yl. historia	      1
FI-K.Kiel.Kotim.,suom	      1
FI-K.Lahetys	      1
FI-K.Maantiede	      1
FI-K.Meijerihoito	      1
FI-K.Metsanhoito	      1
FI-K.Musiikki	      1
FI-K.Saarnakirj	      1
FI-K.Taidehist	      1
FI-K.Teologia;FI-Eea	      1
FI-K.Terv.hoito	      1
FI-K.Urheilu	      1
FI-K.Yl.kielit	      1
FI-k000535q	      1
FI-k000938q	      1
FI-k001020q	      1
FI-k970493q	      1
FI-k970751q	      1
FI-k980636q	      1
FI-k980724;FI-k980725	      1
FI-k990318q	      1
FI-k990359q	      1
FI-k990591q;FI-k990592q;FI-k990593q	      1
FI-Ka;FI-Van	      1
FI-Kam;FI-He;FI-Om	      1
FI-Kam;FI-Jm	      1
FI-Kauppaopetus	      1
FI-Kb01582	      1
FI-Kemia	      1
FI-Kirjatieto 3	      1
FI-Kn02174	      1
FI-Kom	      1
FI-Kom;FI-Vm	      1
FI-Kom. miet. 3	      1
FI-Kotitalous 3;FI-Ea	      1
FI-Kunn. hall. 3	      1
FI-Laäketiede 1 , Sosiaalilääketieteellinen	      1
FI-Laäketiede 3;FI-Sosiaalipolitiikka 3	      1
FI-Lait 1	      1
FI-Lt	      1
FI-Misos	      1
FI-Mitai	      1
FI-ML FIBRE Air	      1
FI-Mm;FI-Jm	      1
FI-Mm;FI-Om	      1
FI-Mm;FI-Vm	      1
FI-Mm;FI-Vm;FI-Ka;FI-Van;FI-Kam;FI-He;FI-Jm;FI-Kom;FI-Om	      1
FI-Mm;FI-Vm;FI-Kam;FI-He;FI-Jm;FI-Om;FI-Kom	      1
FI-Monisteet 1. HY;FI-Cb	      1
FI-Monisteet 3	      1
FI-Monisteet 5	      1
FI-Musiikki 2	      1
FI-n910041q	      1
FI-n910212q	      1
FI-n910225q	      1
FI-n910451q	      1
FI-n920035;FI-n920036;FI-n920037;FI-n920038;FI-n920039;FI-n920146	      1
FI-n920147;FI-n920148;FI-n920149;FI-n920153;FI-n920154;FI-n920178	      1
FI-n920318q	      1
FI-n930321	      1
FI-n930340	      1
FI-n930349	      1
FI-n930527q	      1
FI-n940421	      1
FI-n940422	      1
FI-n950045q	      1
FI-n950097q;FI-n950098q	      1
FI-n950364;FI-n950365	      1
FI-n950366;FI-n950367;FI-n950368	      1
FI-n950420;FI-n950421;FI-n950422;FI-n950423;FI-n950424q;FI-n950425q;FI-n950426q	      1
FI-n950484;FI-n950485;FI-n950486;FI-n950487;FI-n950488;FI-n950489;FI-n950490	      1
FI-n950897;FI-n950898;FI-n950899	      1
FI-n960151;FI-n960152;FI-n960153	      1
FI-n960501q	      1
FI-n961121q	      1
FI-Neuvosto-Karjala	      1
FI-Om;FI-Gt;FI-Mm;FI-Vm;FI-Srm;FI-Kam;FI-He;FI-Jm;FI-Kava;FI-Kom	      1
FI-Om;FI-He;FI-Jm	      1
FI-Om;FI-Jm	      1
FI-Om;FI-Kam;FI-He;FI-Jm	      1
FI-Om;FI-Mm	      1
FI-Om;FI-Mm;FI-He	      1
FI-Om;FI-Mm;FI-Vm	      1
FI-Om;FI-Mm;FI-Vm;FI-He	      1
FI-Om;FI-Mm;FI-Vm;FI-Kam;FI-He;FI-Jm;FI-Kom	      1
FI-Om;FI-Mm;FI-Vm;FI-Kom	      1
FI-Om;FI-Mm;FI-Vm;FI-Srm;FI-He;FI-Kom;FI-Jm	      1
FI-Om;FI-Mm;FI-Vm;FI-Van;FI-Kam;FI-He;FI-Kom;FI-Mitoi	      1
FI-Om;FI-Srm	      1
FI-Om;FI-Ty	      1
FI-Om;FI-Vm;FI-He;FI-Kom	      1
FI-Om;FI-Vm;FI-Ka;FI-Kam;FI-He	      1
FI-Om;FI-Vm;FI-Kam;FI-Kava;FI-Kom	      1
FI-Om;FI-Vm;FI-Pr	      1
FI-Om;FI-Vm;FI-Srm	      1
FI-Om;FI-Vm;FI-Srm;FI-Kam;FI-He;FI-Kom;FI-Jm	      1
FI-Om;FI-Vm;FI-Van	      1
FI-Oppikoulut 3 Turku	      1
FI-Ou3	      1
FI-Paik. luonnontiet. seurat 1	      1
FI-Paik. luonnontiet. seurat 3	      1
FI-Pienkarjanhoito 3	      1
FI-Puolueet: Sv. folkp	      1
FI-Puolustus 1	      1
FI-Raamatut 6	      1
FI-Rahalaitokset 8	      1
FI-Raittius 3	      1
FI-Rauma	      1
FI-Rautatiet 7	      1
FI-Ruots. kaunokirj. 1	      1
FI-Sanakirjat	      1
FI-Sanakirjat;FI-Kirjastot 2 Alkon	      1
FI-Sim;FI-Ma	      1
FI-Suom. elamäkerrat 1	      1
FI-Suom. elamäkerrat 2.;FI-Ea	      1
FI-Suom. kaunok. 1	      1
FI-Suom. kaunok. 6, Hbkkila, Esko	      1
FI-Suom. kaunok. 6, Palmroth, R. W	      1
FI-Suom. kiel. 3;FI-Ga	      1
FI-Suom. lastenkirj. 2	      1
FI-Suom. lastenkirj. 2, Kristofer	      1
FI-Suom. lastenkirj. 5	      1
FI-Taide 2	      1
FI-Taide 2.;FI-Ea	      1
FI-Tampereen yliopisto 1	      1
FI-Teollisuusliikkeet 3	      1
FI-Teollisuusopetus	      1
FI-Tiet. seur.: Luteril. kirjall. saätio	      1
FI-Tiet. seur.: Suom. hammaslaäk. seura	      1
FI-Tiet. seur.: Westermarck soc	      1
FI-Turun yliopisto 1;FI-Diss. TY	      1
FI-Turun yliopisto 5	      1
FI-Turun yliopisto 7	      1
FI-Ty;FI-Mitoi	      1
FI-Urheilu 2	      1
FI-Vakuutus 2	      1
FI-Val	      1
FI-Van;FI-Vm	      1
FI-Vm;FI-He	      1
FI-Vm;FI-He;FI-Jm	      1
FI-Vm;FI-Ka;FI-Van;FI-Pr;FI-Sim;FI-Rm;FI-Em;FI-Rs;FI-Ma	      1
FI-Vm;FI-Kam	      1
FI-Vm;FI-Kom	      1
FI-Vm;FI-Om;FI-Ka;FI-Kam;FI-He	      1
FI-Vm;FI-Srm	      1
FI-Yl. hist., Kansojen kamppailu 6	      1
