melinda_id publication_year n
(FI-MELINDA)000674621 1913 1
(FI-MELINDA)000674655 1907 1
(FI-MELINDA)000674664 1917 1
(FI-MELINDA)000674666 1907 1
(FI-MELINDA)000674678 1915 1
(FI-MELINDA)000674685 1904 1
(FI-MELINDA)000674702 1904 1
(FI-MELINDA)000674726 1908 1
(FI-MELINDA)000674737 1881 1
(FI-MELINDA)000674739 1915 1
(FI-MELINDA)000674758 1914 1
(FI-MELINDA)000674809 1898 1
(FI-MELINDA)000674826 1887 1
(FI-MELINDA)000674869 1906 1
(FI-MELINDA)000674896 1909 1
(FI-MELINDA)000674972 1869 1
(FI-MELINDA)000675041 1914 1
(FI-MELINDA)000675048 1898 1
(FI-MELINDA)000675066 1893 1
(FI-MELINDA)000675074 1909 1
(FI-MELINDA)000675091 1904 1
(FI-MELINDA)000675293 1902 1
(FI-MELINDA)000675316 1897 1
(FI-MELINDA)000675379 1898 1
(FI-MELINDA)000675391 1907 1
(FI-MELINDA)000675425 1917 1
(FI-MELINDA)000675442 1914 1
(FI-MELINDA)000675629 1914 1
(FI-MELINDA)000675630 1898 1
(FI-MELINDA)000675655 1912 1
(FI-MELINDA)000675721 1880 1
(FI-MELINDA)000675731 1911 1
(FI-MELINDA)000676225 1860 1
(FI-MELINDA)000676310 1899 1
(FI-MELINDA)000676927 1892 1
(FI-MELINDA)000676934 1911 1
(FI-MELINDA)000676965 1909 1
(FI-MELINDA)000677001 1905 1
(FI-MELINDA)000678035 1905 1
(FI-MELINDA)000678594 1914 1
(FI-MELINDA)000678620 1906 1
(FI-MELINDA)000678892 1908 1
(FI-MELINDA)000678893 1912 1
(FI-MELINDA)000678973 1912 1
(FI-MELINDA)000679200 1895 1
(FI-MELINDA)000679536 1889 1
(FI-MELINDA)000679989 1909 1
(FI-MELINDA)000680876 1861 1
(FI-MELINDA)000680958 1910 1
(FI-MELINDA)000681101 1832 1
(FI-MELINDA)000681102 1832 1
(FI-MELINDA)000681103 1832 1
(FI-MELINDA)000683953 1887 1
(FI-MELINDA)000686068 1903 1
(FI-MELINDA)000688590 1905 1
(FI-MELINDA)000688742 1903 1
(FI-MELINDA)000692611 1917 1
(FI-MELINDA)000692618 1907 1
(FI-MELINDA)000692620 1911 1
(FI-MELINDA)000692628 1910 1
(FI-MELINDA)000692636 1910 1
(FI-MELINDA)000692638 1893 1
(FI-MELINDA)000692642 1836 1
(FI-MELINDA)000692646 1895 1
(FI-MELINDA)000692659 1912 1
(FI-MELINDA)000692662 1917 1
(FI-MELINDA)000692664 1898 1
(FI-MELINDA)000692667 1913 1
(FI-MELINDA)000692670 1912 1
(FI-MELINDA)000692675 1910 1
(FI-MELINDA)000692679 1908 1
(FI-MELINDA)000692682 1914 1
(FI-MELINDA)000692692 1904 1
(FI-MELINDA)000692695 1913 1
(FI-MELINDA)000692700 1915 1
(FI-MELINDA)000692709 1902 1
(FI-MELINDA)000692725 1899 1
(FI-MELINDA)000692731 1908 1
(FI-MELINDA)000692732 1907 1
(FI-MELINDA)000692735 1913 1
(FI-MELINDA)000692737 1909 1
(FI-MELINDA)000692743 1909 1
(FI-MELINDA)000692744 1901 1
(FI-MELINDA)000692770 1912 1
(FI-MELINDA)000692774 1906 1
(FI-MELINDA)000692785 1893 1
(FI-MELINDA)000692788 1892 1
(FI-MELINDA)000692789 1901 1
(FI-MELINDA)000692790 1895 1
(FI-MELINDA)000692791 1901 1
(FI-MELINDA)000692795 1911 1
(FI-MELINDA)000692796 1908 1
(FI-MELINDA)000692802 1906 1
(FI-MELINDA)000692818 1892 1
(FI-MELINDA)000692819 1899 1
(FI-MELINDA)000692820 1912 1
(FI-MELINDA)000692826 1917 1
(FI-MELINDA)000692830 1904 1
(FI-MELINDA)000692831 1901 1
(FI-MELINDA)000692835 1912 1
(FI-MELINDA)000692841 1917 1
(FI-MELINDA)000692870 1910 1
(FI-MELINDA)000692876 1907 1
(FI-MELINDA)000692877 1912 1
(FI-MELINDA)000692888 1914 1
(FI-MELINDA)000692891 1857 1
(FI-MELINDA)000692896 1914 1
(FI-MELINDA)000692898 1873 1
(FI-MELINDA)000692899 1917 1
(FI-MELINDA)000692903 1906 1
(FI-MELINDA)000692904 1903 1
(FI-MELINDA)000692906 1896 1
(FI-MELINDA)000692907 1905 1
(FI-MELINDA)000692919 1906 1
(FI-MELINDA)000692926 1906 1
(FI-MELINDA)000692927 1905 1
(FI-MELINDA)000692938 1916 1
(FI-MELINDA)000692940 1907 1
(FI-MELINDA)000692941 1916 1
(FI-MELINDA)000692945 1904 1
(FI-MELINDA)000692946 1888 1
(FI-MELINDA)000692960 1905 1
(FI-MELINDA)000692964 1895 1
(FI-MELINDA)000692966 1904 1
(FI-MELINDA)000692969 1862 1
(FI-MELINDA)000692970 1874 1
(FI-MELINDA)000692974 1903 1
(FI-MELINDA)000692975 1903 1
(FI-MELINDA)000692977 1912 1
(FI-MELINDA)000692983 1898 1
(FI-MELINDA)000692991 1891 1
(FI-MELINDA)000692997 1893 1
(FI-MELINDA)000693010 1894 1
(FI-MELINDA)000693014 1903 1
(FI-MELINDA)000693031 1884 1
(FI-MELINDA)000693032 1865 1
(FI-MELINDA)000693034 1839 1
(FI-MELINDA)000693035 1885 1
(FI-MELINDA)000693036 1890 1
(FI-MELINDA)000693037 1856 1
(FI-MELINDA)000693058 1907 1
(FI-MELINDA)000693059 1906 1
(FI-MELINDA)000693066 1889 1
(FI-MELINDA)000693067 1905 1
(FI-MELINDA)000693068 1881 1
(FI-MELINDA)000693070 1894 1
(FI-MELINDA)000693072 1913 1
(FI-MELINDA)000693075 1912 1
(FI-MELINDA)000693081 1897 1
(FI-MELINDA)000693082 1907 1
(FI-MELINDA)000693087 1901 1
(FI-MELINDA)000693088 1905 1
(FI-MELINDA)000693089 1907 1
(FI-MELINDA)000693095 1912 1
(FI-MELINDA)000693100 1893 1
(FI-MELINDA)000693103 1917 1
(FI-MELINDA)000693106 1908 1
(FI-MELINDA)000693110 1914 1
(FI-MELINDA)000693111 1912 1
(FI-MELINDA)000693113 1899 1
(FI-MELINDA)000693116 1898 1
(FI-MELINDA)000693117 1908 1
(FI-MELINDA)000693119 1908 1
(FI-MELINDA)000694354 1902 1
(FI-MELINDA)000694401 1873 1
(FI-MELINDA)000697726 1905 1
(FI-MELINDA)000697727 1913 1
(FI-MELINDA)000697737 1912 1
(FI-MELINDA)000697747 1906 1
(FI-MELINDA)000697748 1911 1
(FI-MELINDA)000697750 1907 1
(FI-MELINDA)000697753 1910 1
(FI-MELINDA)000697756 1916 1
(FI-MELINDA)000697762 1864 1
(FI-MELINDA)000697763 1891 1
(FI-MELINDA)000697773 1917 1
(FI-MELINDA)000697795 1911 1
(FI-MELINDA)000697804 1912 1
(FI-MELINDA)000697812 1917 1
(FI-MELINDA)000697823 1898 1
(FI-MELINDA)000697836 1912 1
(FI-MELINDA)000697838 1900 1
(FI-MELINDA)000697845 1913 1
(FI-MELINDA)000697846 1878 1
(FI-MELINDA)000697847 1901 1
(FI-MELINDA)000697848 1912 1
(FI-MELINDA)000697851 1887 1
(FI-MELINDA)000697854 1912 1
(FI-MELINDA)000697856 1914 1
(FI-MELINDA)000697859 1914 1
(FI-MELINDA)000697862 1913 1
(FI-MELINDA)000697866 1885 1
(FI-MELINDA)000697871 1898 1
(FI-MELINDA)000697876 1917 1
(FI-MELINDA)000697877 1915 1
(FI-MELINDA)000697902 1894 1
(FI-MELINDA)000697912 1881 1
(FI-MELINDA)000697914 1895 1
(FI-MELINDA)000697944 1895 1
(FI-MELINDA)000697945 1906 1
(FI-MELINDA)000697947 1916 1
(FI-MELINDA)000697948 1900 1
(FI-MELINDA)000697959 1910 1
(FI-MELINDA)000697968 1916 1
(FI-MELINDA)000697979 1889 1
