,0
597,767o
598,787o
599,2406
600,2409
601,510c
602,880l
603,8809
604,785b
605,520c
606,581a
607,785o
608,765o
609,2459
610,2609
611,5056
612,880t
613,600l
614,830g
615,830w
616,521a
617,034ind1
618,034a
619,034b
620,045ind1
621,045b
622,255a
623,567b
624,5672
625,5670
626,787ind2
627,787i
628,700s
629,830h
630,579a
631,579b
632,600e
633,600n
634,600r
635,9009
636,592a
637,866z
638,041g
639,382ind1
640,382ind2
641,382a
642,3820
643,382n
644,382s
645,3822
646,246p
647,530b
648,534f
649,8100
650,506ind1
651,506a
652,710i
653,710t
654,762c
655,100b
656,950a
657,6555
658,2506
659,019a
660,130k
661,772ind2
662,900t
663,940p
664,653h
665,610d
666,930ind2
667,930a
668,588ind1
669,5206
670,7406
671,5069
672,800n
673,800p
674,8000
675,653ind1
676,600v
677,4906
678,880v
679,585a
680,534l
681,534o
682,752a
683,752d
684,7529
685,7106
686,880p
687,775a
688,775s
689,775c
690,775z
691,630z
692,730k
693,3629
694,700k
695,787a
696,787d
697,787z
698,648x
699,8306
700,033ind1
701,033a
702,774ind1
703,774o
704,130n
705,611n
706,611d
707,611c
708,538a
709,5389
710,856x
711,0806
712,790a
713,790x
714,2646
715,534z
716,880h
717,7206
718,800l
719,6300
720,591a
721,1306
722,024d
723,647ind2
724,647a
725,647c
726,647d
727,650d
728,1106
729,505u
730,541ind1
731,541c
732,541a
733,5415
734,8300
735,255b
736,034d
737,034e
738,034f
739,034g
740,536a
741,536f
742,856a
743,7004
744,084e
745,039a
746,610t
747,650c
748,630m
749,880x
750,024z
751,505g
752,856f
753,600f
754,630k
755,700b
756,600s
757,245d
758,9079
759,6308
760,6518
761,592x
762,6108
763,6488
764,591b
765,591c
766,591d
767,600k
768,508a
769,775x
770,7759
771,7309
772,1002
773,651v
774,490Y
775,856d
776,4903
777,028q
778,610g
779,9000
780,6002
781,567a
782,0349
783,3708
784,3888
785,0202
786,772o
787,534e
788,5058
789,7119
790,910n
791,386m
792,386n
793,386a
794,3862
795,3860
796,264f
797,8529
798,5925
799,504b
800,600m
801,600g
802,506b
803,5065
804,787s
