Column1;Column2
Lausunnot;Finnish
Lautapelit;Finnish
Lavarunous;Finnish
Ledare (tidningar);
Legendat;Finnish
Legender;
Lehtikirjoituskokoelmat;Finnish
Leikkikirjat;Finnish
Leipomot;Finnish
Leipomoteollisuus;Finnish
Leivinhiiva;Finnish
Leivontaominaisuudet;Finnish
Leksaksböcker;
Lelukirjat;Finnish
LESTIJÄRVI;Finnish
Lexikon;
Libretot;Finnish
Libretton;
Licentiatavhandlingar;
Liettuankielinen kirjallisuus;Finnish
Lihateknologia;Finnish
Liikuntalehdet;Finnish
Liitutaulukirjat;Finnish
Liivinkielinen kirjallisuus;Finnish
Likpredikningar;
Limerickar;
Limerikit;Finnish
Limnologia;Finnish
Lippakirjat;Finnish
Lisensiaatintutkimukset;Finnish
Literary cookbooks;English
Literary criticism;English
Literature;English
Litteraturhistoria;
Litteraturrecensioner;
Litteraturtidskrifter;
Litteraturvetenskap;
Liturginen musiikki;Finnish
Liturgisk musik;
Liuskakirjat;Finnish
Liveroolipelit;Finnish
Ljudböcker;
LL-böcker;
Lokala berättelser;
Lokalhistoriker;
Lokaltidningar;
Lomakkeet;Finnish
Lorut;Finnish
Luennot;Finnish
Luettelot;Finnish
Lukemisesteisten äänikirjat;Finnish
Lukemistot;Finnish
Lukio;Finnish
Lukiolaiset;Finnish
Lukukirjat;Finnish
Luomiskertomukset;Finnish
Luontolehdet;Finnish
Luonto-oppaat;Finnish
Luukkukirjat;Finnish
Lyhennelmät;Finnish
Lyhytproosa;Finnish
Lyriska folkdikter;
Lyyriset kansanrunot;
Långserieböcker;
Låsta rummet-litteratur;
Lähdejulkaisut;Finnish
Läkarböcker;
Läkarromaner;
Lännenelokuvat;
Lännensarjakuvat;Finnish
Lännentarinat;Finnish
Lärarhandledningar;
Lärdomsprov;
Läroböcker;
Läromaterial;
Läromedel;
Läroplaner;
Läseböcker;
Läseböcker (skolböcker);
Läsenöcker;
Lättlästa böcker;
Lättlästa tidningar;
Lääkärikirjat;Finnish
Lääkäriromaanit;Finnish
Maaginen realismi;Finnish
Maailmanmusiikki;Finnish
Maakuntalaulut;Finnish
Maakuntalehdet;Finnish
Maanpuolustuslehdet;Finnish
Maaperäkartat;Finnish
Maaseutu;Finnish
Maaseuturomaanit;Finnish
Maastokartat;Finnish
Maatalouslehdet;Finnish
Maatilat;Finnish
Magisk realism;
Magneettikirjat;Finnish
Magnetböcker;
Mainokset;Finnish
Mainoselokuvat;Finnish
Maitohappobakteerit;Finnish
Maitotaloustiede;Finnish
Maitoteknologia;Finnish
Makedoniankielinen kirjallisuus;Finnish
Manga;
Mangat;Finnish
Manhwa;
Manhwat;
Manslitteratur;
Manuskript;
Marjat;Finnish
Markkinointilehdet;Finnish
Marknadsföringstidningar;
Marscher;
Marschsånger;
Marssilaulut;Finnish
Marssit;Finnish
Masurkat;Finnish
Masurkor;
Materialsamlingar;
Matkailukartat;Finnish
Matkailulehdet;Finnish
Matkakertomukset;Finnish
Matkakertomukset (tietokirjallisuus);Finnish
Matkakirjallisuus;Finnish
Matkakirjallisuus (kaunokirjallisuus);Finnish
Matkaoppaat;Finnish
Matkaoppaat (teokset);Finnish
Matkapäiväkirjat;Finnish
Matkat;Finnish
Matrecept;
Matrikkelit;Finnish
Matriklar;
Mattidningar;
Mbalax;
Medlemsförteckningar;
Medlemstidningar;
Medvetandeström (litteratur);
Meeting Abstracts;English
Mellanåldersböcker;
Melodraamat;Finnish
Melodraamat (draama);Finnish
Melodramer (drama);
Memoarer;
Memoarer och biografier;
Memoraatit;Finnish
Memorat;
Menuetit;Finnish
Menuetter;
Merikartat;Finnish
Merikirjallisuus;Finnish
Merikirjallisuus (kaunokirjallisuus);Finnish
Merimieslaulut;Finnish
Messukirjat;Finnish
Messut (sävellykset);Finnish
Meta-Analysis;English
Metafiktio;Finnish
Metafiktion;
Metsälehdet;Finnish
Meänkielinen kirjallisuus;Finnish
Miekka ja magia -kirjallisuus;Finnish
Mielikuvitus;Finnish
Mielipidekirjallisuus;Finnish
Mielipidekirjoitukset;Finnish
Mielipidelehdet;Finnish
Mieskirjallisuus;Finnish
Miesnäkökulma;Finnish
Miessarjakuvat;Finnish
Miestenlehdet;Finnish
Mietinnöt;Finnish
Migrantlitteratur;
Military history;English
Militärfarser;
Militärmusik;
Militärtidningar;
Miniatyrböcker;
Minnesskrifter;
Minnesspel;
Minnesverser;
Misery lit;English
Mobiilipelit;Finnish
Mobilspel;
Moderna sägner;
Modernism;
Modernismi;Finnish
Modetidningar;
Monikieliset kirjat (rinnakkaiskäännökset);Finnish
Monikieliset sanakirjat;Finnish
Monikieliset teokset;Finnish
Moninpelit;Finnish
Monologer;
Monologit;Finnish
Moottoripyörälehdet;Finnish
Moraliteetit;Finnish
Moraliteter;
Morgonsamlingar;
Motetit;Finnish
Motetter;
Motiiviluettelot;Finnish
Motiivit;Finnish
Motionstidningar;
Motivkataloger;
Motorcykeltidningar;
Muinaisranskankielinen kirjallisuus;Finnish
Muistelmat;Finnish
Muistelu;Finnish
Muistiot;Finnish
Muistipelit;Finnish
Muistojulkaisut;Finnish
Muistorunot;Finnish
Mukaelmat;Finnish
Multicenter Study;English
Multiplayerspel;
Muotilehdet;Finnish
Muotokirjat;Finnish
Murrekirjallisuus;Finnish
Murrenäytteet;Finnish
Musiikin harjoitusaineistot;Finnish
Musiikinteoria;Finnish
Musiikki;Finnish
Musiikkiarvostelut;Finnish
Musiikkielokuvat;Finnish
Musiikkilehdet;Finnish
Musiikkileikit;Finnish
Musiikkinäytelmät;Finnish
Musiikkipelit;Finnish
Musiikkisadut;Finnish
Musiikkivideot;Finnish
Musik;
Musikaalit;Finnish
Musikaler;
Musikalier;
Musikdramer;
Musikfilmer;
Musiklekar;
Musikrecensioner;
Musiksagor;
Musikspel;
Musiktidskrifter;
Musikvideor;
Musta huumori;Finnish
Musta komedia;Finnish
Mustavalkoiset sarjakut;Finnish
Mustavalkoiset sarjakuvat;Finnish
Muunnelmat;Finnish
Mykkä sarjakuva;Finnish
Mykkäelokuvat;Finnish
Mysdeckare;
Mystery fiction;English
Myter;
Myytit;Finnish
Målarböcker;
Mälestused;
Mässböcker;
Mässor (kompositioner);
Määritysoppaat;Finnish
Määräykset;Finnish
Naiset;Finnish
Naiskirjallisuus;Finnish
Naiskuvaus;Finnish
Naisnäkökulma;Finnish
Naissarjakuvat;Finnish
Naistenlehdet;Finnish
Narkomaanit;Finnish
Natioalepos;
Nationalbibliografier;
Nationalepos;
Nationalsånger;
Naturguider;
Naturtidningar;
Nederländsk litteratur;
Nekrologer;
Nekrologit;Finnish
Neuropsykiatriset häiriöt;Finnish
Nevermoor (fiktiivinen paikka);Finnish
New weird;English
Niddikter;
Nidvisor;
Nimikkeistöt;Finnish
Nimistöt;Finnish
Nomenklaturer;
Nonsense;English
Noppapelit;Finnish
Norjan kieli;Finnish
Norjankielinen kirjallisuus;Finnish
Norsk litteratur;
Novellas;
Noveller;
Novelli;Finnish
Novellisadut;Finnish
Novellisarjakuvat;Finnish
Novellit;Finnish
Novellit2slm/fin;Finnish
Novellsagor;
Nukkenäytelmät;Finnish
Nuoret;Finnish
Nuorisokuvaus;Finnish
Nuorisosarjakuvat;Finnish
Nuorten aikuisten kirjat;Finnish
Nuorten kirjallisuus;Finnish
Nuortenelokuvat;Finnish
Nuortenkirjallisuus;Finnish
Nuortenkirjat;Finnish
Nuortenlehdet;Finnish
Nuortennäytelmät;Finnish
Nuortenromaanit;Finnish
Nuortensarjakuvat;Finnish
Nuortensarjat;Finnish
Nuottijulkaisut;Finnish
Nurses' Instruction;English
Nurses’ Instruction;
Nya romanen;
Nybyggarromaner;
Nybörjarnivå;
Nyckelromaner;
Nykykreikankielinen kirjallisuus;Finnish
Nykytarinat;Finnish
Nähtävyydet;Finnish
Näköispainokset;Finnish
Näkökulmatekniikka;Finnish
Näytelmäkirjallisuus;Finnish
Näytelmämusiikki;Finnish
Näytelmäsovitukset;Finnish
Näytelmät;Finnish
Näyttelyjulkaisut;Finnish
Näyttämömusiikki;Finnish
Nöjesläsning;
Oden (dikter);
Odysséer;
Odysseiat;Finnish
Officiella publikationer;
Ofullbordade verk;
Ohjeet;Finnish
Ohjekirjat;Finnish
Ohjelmistot;Finnish
Ohjesäännöt;Finnish
Oikeudenkäyntiromaanit;Finnish
Omaelämäkerrallisuus;Finnish
Omakustanteet;Finnish
Omarbetningar;
Ongelmanratkaisupelit;Finnish
Oodit (runot);Finnish
Oopperat;Finnish
Opaskartat;Finnish
Operetit;Finnish
Operetter;
Operor;
Opetusaineisto;Finnish
Opetuselokuvat;Finnish
Opetusmateriaali;Finnish
Opetusoppaat;Finnish
Opetussarjakuvat;Finnish
Opetussuunnitelmat;Finnish
Opinionsmätare;
Opinionstidningar;
Opinnäytteet;Finnish
Opinto-oppaat;Finnish
Opiskelijalehdet;Finnish
Oppaat;Finnish
Oppaat (teokset);Finnish
Oppikirjat;Finnish
Oppimateriaali;Finnish
Oppimateriaalit;Finnish
Opusförteckningar;
Oratorier;
Oratoriot;Finnish
Oravais;
Ord för dagen;
Ordböcker;
Ordlekar;
Ordlistor;
Ordspråk;
Ordstäv;
Organisationshistoriker;
Organisationstidningar;
Orienteringskartor;
Orkesterimusiikki;Finnish
Orkestermusik;
Ortodoksinen kirkkomusiikki;Finnish
Ortodox kyrkomusik;
Osoiteluettelot;Finnish
Osto-oppaat;Finnish
Otetaulukot;Finnish
Outlines;English
Paavin kiertokirjeet;Finnish
Paikallishistoria (historia);Finnish
Paikallishistoriat;Finnish
Paikallishistoriat (historiikit);Finnish
Paikallislehdet;Finnish
Paikallistarinat;Finnish
Pakinat;Finnish
Pakolaiskirjallisuus;Finnish
Paksulehtinen kirjat;Finnish
Paksulehtiset kirjat;Finnish
Palapelikirjat;Finnish
Palapelit;Finnish
Paleofiktio;Finnish
Paleofiktion;
Palindromer;
Palindromit;Finnish
Pamfletit;Finnish
Pamfletter;
Pamphlets;English
Pantomiimit;Finnish
Pantomimer;
Pantomimserier;
Pantomimserier (tecknade serier);
Parafraasit (kirjallisuus);Finnish
Parallellverk;
Parodia;Finnish
Parodiat;Finnish
Parodier;
Partitidningar;
Passacagliat;Finnish
Passacaglior;
Passionsspel;
Pastischer;
Pastissit;Finnish
Pastoraalit;Finnish
Pastoraalityöt;Finnish
Pastoralarbeten;
Patient Education Handout;English
Patienttidningar;
Pavanat;Finnish
Pavaner;
Pehmodekkarit;Finnish
Pekböcker;
Pelilehdet;Finnish
Pelimannimusiikki;Finnish
Pelisovitukset;Finnish
Pelit;Finnish
Perheet;Finnish
Perhelehdet;Finnish
Perheromaanit;Finnish
Perhesalaisuudet;Finnish
Perhesarjakuvat;Finnish
Periodical;English
Periodical Index;English
Periodicals;English
Periodika;
Persiankielinen kirjallisuus;Finnish
Personal Narrative;English
Personal narrative;English
Personal Narratives;English
Personal-Narratives;English
Personaltidningar;
Personbibliografier;
Personhistoria;
Personporträtt (personhistoria);
Personregister (index);
Personregister (personupplysningar);
Peruskirjat;Finnish
Pharmacopoeia;
Photobooks;English
Pictorial Works;English
Pienoiskirjat;Finnish
Pienoisnovellit;Finnish
Pienoisnäytelmät;Finnish
Pienoisromaanit;Finnish
Pienpainatteet;Finnish
Piilokuvakirjat;Finnish
Piippola;Finnish
Piirustukset (taide);Finnish
Pikareskberättelser;
Pikareskromaner;
Pilakuvat;Finnish
Pilalehdet;Finnish
Pilasadut;Finnish
Pilkkalaulut;Finnish
Pilkkarunot;Finnish
Piska dikter;
Pistekirjat;Finnish
Planer;
Plattformsspel;
Pocketböcker;
Poetry;English
Pohjanmaa;Finnish
Poikakirjat;Finnish
Pojkböcker;
Poliisikirjallisuus;Finnish
Poliisitutkinta;Finnish
Poliiskirjallisuus;Finnish
Poliittinen huumori;Finnish
Poliittinen jännityskirjallisuus;Finnish
Poliittiset elokuvat;Finnish
Poliittiset laulut;Finnish
Poliittiset näytelmät;Finnish
Poliittiset romaanit;Finnish
Poliittiset runot;Finnish
Poliittiset sarjakuvat;Finnish
Polisromaner;
Politisk humor;
Politiska dikter;
Politiska filmer;
Politiska romaner;
Politiska serier (tecknade serier);
Politiska skådespel;
Politiska sånger;
Politiska thrillers (litteratur);
Polkat;Finnish
Polkor;
Poloneesit;Finnish
Polonäser;
Polskat;Finnish
Polskor;
Popmusiikki;Finnish
Popmusik;
Populaarimusiikki;Finnish
Popular Work;English
Popular Works;English
Populärmusik;
Pop-up-böcker;
Pop-up-kirjat;Finnish
Portrait;English
Portraits;English
Portugalinkielinen kirjallisuus;Finnish
Portugisisk litteratur;
Postikortit;Finnish
Postkort;
Postmodernismi;Finnish
Postuma verk;
Postuumit teokset;Finnish
Potilaslehdet;Finnish
Practice Guideline;English
Predikningar;
Prislistor;
Pro gradu -tutkielmat;Finnish
Pro gradu-avhandlingar;
Problemlösningsspel;
Problems and Exercises;English
Produktkataloger;
Programblad;
Programserier;
Progressiivinen rock;Finnish
Progressiv rock;
Promemorior;
Proosarunot;Finnish
Prosadikter;
Protokoll (dokument);
Psalmböcker;
Psalmer;
Psalmer (sånger);
Psalmit;Finnish
Psalmit (tekstit);Finnish
Psaltarpsalmer;
Psaltarpsalmer (bibeltexter);
Psychological fiction;English
Psykologinen jännityskirjallisuus;Finnish
Psykologinen kauhukirjallisuus;Finnish
Psykologiset kertomukset;Finnish
Psykologiset romaanit;Finnish
Psykologiset romanit;Finnish
Psykologisk skräcklitteratur;
Psykologisk thriller;
Psykologiska berättelser;
Psykologiska romaner;
Psykologiska thrillers (litteratur);
Puheet;Finnish
Punk rock;English
Punktskriftsböcker;
Puolan kieli;Finnish
Puolankielinen kirjallisuus;Finnish
Puoluelehdet;Finnish
Purpuri;Finnish
Purpurit;Finnish
Pussel;
Pusselböcker;
Puuhakirjat;Finnish
Puutarhalehdet;Finnish
Pyhät kirjat;Finnish
Pysselböcker;
Påvliga encyklikor;
Päiväkirjaromaanit;Finnish
Päiväkirjat;Finnish
Päivänavaukset;Finnish
Päivänsanat;Finnish
Pääkirjoitukset;Finnish
Pääsykoetehtävät;Finnish
Pöytäkirjat (asiakirjat);Finnish
Queer-kirjallisuus;Finnish
Queerlitteratur;
Raamattu;Finnish
Raamatunkertomukset;Finnish
Racingspel;
Radio-ohjelmat;Finnish
Radioprogram;
Raivaajaromaanit;Finnish
Rakennuslehdet;Finnish
Rakennusohjeet;Finnish
Rakkauselokuvat;Finnish
Rakkauskertomukset;Finnish
Rakkausromaanit;Finnish
Rakkausromaanit slm/fin;Finnish
Rakkausrunot;Finnish
Rakkaussarjakuvat;Finnish
Ramsor;
Randomized Controlled Trial;English
Ranskan kieli;Finnish
Ranskankielinen kaunokirjallisuus;Finnish
Ranskankielinen kirjallisuus;Finnish
Rap;English
Raportit;Finnish
Rapporter;
Rapsodiat;Finnish
Rapsodier;
Raski;Finnish
Rasva;Finnish
Rasvapitoisuus;Finnish
Ratkaisukirjat;Finnish
Rbetartidningar;
Recensioner;
Referatpublikationer;
Referensdatabaser;
Reggae;Finnish
Regionala bibliografier;
Regiontidningar;
REISJÄRVI;Finnish
Rekilaulut;Finnish
Reklamer;
Reklamfilmer;
Rekommendationer;
Rekviem;
Relationsguider;English
Relationsromaner;
Reliefböcker;
Religiös litteratur;
Religiös lyrik;
Religiös musik;
Religiösa filmer;
Religiösa serier (tecknade serier);
Religiösa skådespel;
Religiösa sånger;
Religiösa tidningar;
Reparationshandböcker;
Repetitionsböcker;
Reportaasit;Finnish
Reportage;English
Requiemit;Finnish
Research Report;English
Reseberättelser;
Reseberättelser (facklitteratur);
Reseguider;
Resehandböcker;
Reselitteratur;
Reselitteratur (skönlitteratur);
Retkeilyoppaat;Finnish
Review;English
Riddardiktning;
Riddarromaner;
Riittirunot;
Rikokirjallisuus;Finnish
Rikoselokuvat;Finnish
Rikoskertomukset;Finnish
Rikoskirjallisuus;Finnish
Rikoslehdet;Finnish
Rikosromaanit;Finnish
Rikossarjakuvat;Finnish
Rinnakkaiset juonet;Finnish
Rinnakkaiset maailmat;Finnish
Rinnakkaisteokset;Finnish
Ritariromaanit;Finnish
Ritarirunous;Finnish
Rituella dikter;
Robinsonader;
Robinsonadit;Finnish
Rock;English
Rock and roll;English
Rockabilly;
Rocklyriikka;Finnish
Rocklyrik;
Rock'n'roll;English
Rolldikter;
Rollspel;
Rollspel (bordsrollspel);
Rollspel (digitala spel);
Romaanisovitukset;Finnish
Romaanit;Finnish
Romaner;
Romanet;
Romaniankielinen kirjallisuus;Finnish
Romanimusiikki (viihdemusiikki);Finnish
Romanser (musik);
Romanssit (musiikki);Finnish
Romantiikka;Finnish
Romantisk fantasylitteratur;
Romantiska komedier;
Romantiska thrillers (litteratur);
Romanttinen fantasiakirjallisuus;Finnish
Romanttinen jännityskirjallisuus;Finnish
Romanttinen rakkauskirjallisuus;Finnish
Romanttiset komediat;Finnish
Romsk litteratur;
Romsk musik (underhållningsmusik);
Roolipelit;Finnish
Roolipelit (digitaaliset pelit);Finnish
Roolipelit (pöytäroolipelit);Finnish
Roolirunot;Finnish
Rudiment;
Rudimentit;Finnish
Rukoukset;Finnish
Rukouskirjat;Finnish
Rumbat;Finnish
Rumbor;
Runokuvakirjat;Finnish
Runonäytelmät;Finnish
Runoromaanit;Finnish
Runot;Finnish
Ruokalehdet;Finnish
Ruokaohjeet;Finnish
Ruotsin kieli;Finnish
Ruotsinkielinen kaunokirjallisuus;Finnish
Ruotsinkielinen kirjallisuus;Finnish
Ruotsinkielinen käännöskirjallisuus;Finnish
Ruotsinsuomalainen kirjallisuus;Finnish
Ruumissaarnat;Finnish
Rymdoperor;
Rysk litteratur;
Saagat;Finnish
Saamenkielinen kirjallisuus;Finnish
Saaristolaiskirjallisuus;Finnish
Saarnat;Finnish
Sadut;Finnish
Sagodikter;
Sagohörspel;
Sagor;
Sagoromaner;
Sagoromaner9;
Sagospel;
Saippuaoopperat;Finnish
Saksan kieli;Finnish
Saksankielinen kaunokirjallisuus;Finnish
Saksankielinen kirjallisuus;Finnish
Salapoliisikirjallisuus;Finnish
Salongskomedier;
Salonkikomediat;Finnish
Salsa;Finnish
Samarbetsspel;
Sambat;Finnish
Sambor (kompositioner);
Samglinsverk;
Samhälliga romaner;
Samhällsdikter;
Samhällsdramer;
Samhällsomaner;
Samhällsromaner;
Samhällsserier (tecknade serier);
Samlade verk;
Samlingskataloger;
Samlingsverk;
Samlingsvkataloger;
Sammusicerande;
Sanakirjat;Finnish
Sanaleikit;Finnish
Sananlaskut;Finnish
Sananmuunnokset;Finnish
Sananparret;Finnish
Sanaristikot;Finnish
Sanastot;Finnish
Sanoitukset;Finnish
Sanomalehdet;Finnish
Sanonnat;Finnish
Sarjajulkaisut;Finnish
Sarjakertomukset;Finnish
Sarjakirjat;Finnish
Sarjakuva-albumit;Finnish
Sarjakuvahahmot;Finnish
Sarjakuvakirjat;Finnish
Sarjakuvalehdet;Finnish
Sarjakuvaosvitukset;Finnish
Sarjakuvaromaanit;Finnish
Sarjakuvasovitukset;Finnish
Sarjakuvat;Finnish
Sarjakuvataiteilijat;Finnish
Sarjakvuat;Finnish
Sarjaohjelmat;Finnish
Sarjat;Finnish
Satiiri;Finnish
Satiirit;Finnish
Satir;
Satirer;
Satukirjat;Finnish
Satukokoelmat;Finnish
Satukuunnelmat;Finnish
Satunäytelmät;Finnish
Saturomaanit;Finnish
Saturunot;Finnish
Savolaismurteet;Finnish
Scenmusik;
Schlager;
Science fiction (litteratur);
Science fiction-filmer;
Science fiction-litteratur;
Science fiction-serier (tecknade serier);
Science fiction-spel;
Scifipelit;
Screenplays;English
Sedekomedier;
Sederomaner;
Seikkailu;Finnish
Seikkailukirjallisuus;Finnish
Seikkailupelit;Finnish
Seikkailuromaanit;
Seikkailusarjakuvat;Finnish
Seikkalukirjallisuus;Finnish
Seksielokuvat;Finnish
Seksilehdet;Finnish
Seksuaalioppaat;Finnish
Selkoaineistot;Finnish
Selkokirjat;Finnish
Selkolehdet;Finnish
Selviytymispelit;Finnish
Sensaatiolehdet;Finnish
Sensationspress;English
Serbiankielinen kirjallisuus;Finnish
Serbokroaatinkielinen kirjallisuus;Finnish
Seriealbum;
Serieberättelser;
Seriella publikationer;
Seriestrippar;
Serietidningar;
Seurakuntahistoriat;Finnish
Seuranäytelmät;Finnish
Seurapelit;Finnish
Sexfilmer;
Sextidningar;
Sexualhandböcker;
Short stories;English
Siirtolaisuuskirjallisuus;Finnish
Sijaiset;Finnish
Simulaatiopelit;Finnish
Simulatorspel;
Sinfoniat;Finnish
Sisustuslehdet;Finnish
Sisustusoppaat;Finnish
Sisäkertomukset;Finnish
Sitaatit;Finnish
Situationskomedier;
Självbiografiska drag;
Självhjälpsböcker;
Sjökort;
Sjölitteratur (skönlitteratur);
Sjömansvisor;
Sjöromaner;
Skapelseberättelser;
Sketcher;
Sketsit;Finnish
Skillingtryck;
Skjutspel;
Skogstidningar;
Skolhistoriker;
Skolpjäser;
Skolromaner;
Skoltidningar;
Skrivartävlingar;
Skrivhandböcker;
Skrivstilsböcker;
Skrivtävlingsantologier;
Skräcklitteratur;
Skräckserier (tecknade serier);
Skräckspel;
Skådespel;
Skådespelsmusik;
Skämtsagor;
Skämttidningar;
Skärgårdsromaner;
Skönlitteratur;
Sloveeninkielinen kirjallisuus;Finnish
Släktböcker;
Släktkrönikor;
Släktromaner;
Småtryck;
Sointuoppaat;Finnish
Soitinmusiikki;Finnish
Soitonoppaat;Finnish
Solarpunk;English
Solosånger;
Somalinkielinen kirjallisuus;Finnish
Son cubano;
Son mexicano;
Sonaatit;Finnish
Sonater;
Sonetit;Finnish
Sonetter;
Sorsaa käsittelevä aineisto;Finnish
Sotaelokuvat;Finnish
Sotakirjallisuus;Finnish
Sotapelit;Finnish
Sotapäiväkirjat;Finnish
Sotasarjakuvat;Finnish
Sotilasfarssit;Finnish
Sotilasmusiikki;Finnish
Sovitukset;Finnish
Sovitukset (musiikki);Finnish
Spansk litteratur;
Specialbibliografier;
Spekulatiivinen fiktio;Finnish
Spekulativ fiktion;
Spel;
Spelmansmusik;
Speltidningar;
Spionromaner;
Spirituaalit;Finnish
Spirituals;English
Splatter;
Spoonerismer;
Sportspel;
Sporttidningar;
Språkhandböcker;
Språkkurser;
Språkprov (exempel);
Spy stories;English
Spökhistorier;
Stadgar;
Stadsromaner;
Stand up -komiikka;Finnish
Standarder;
Standardit;Finnish
Statistics;English
Statistik;
Statistik (data);
Steampunk;English
Stjärnkartor;
Storstilsböcker;
Strategiapelit;Finnish
Strategispel;
Strippisarjakuvat;Finnish
Studenttidningar;
Studiehandböcker;
Stumfilmer;
Ståuppkomik;
Suahilinkielinen kirjallisuus;Finnish
Sukukirjat;Finnish
Sukukronikat;Finnish
Sukuromaanit;Finnish
Sukutaulu;Finnish
Suljettu huone -kirjallisuus;Finnish
Suomenkielinen kaunokirjallisuus;Finnish
Suomenkielinen kirjallisuus;Finnish
Suomenkielinen kirjalllisuus;Finnish
Suomenkielinen käännös;Finnish
Suomenkielinen käännöskirjallisuus;Finnish
Suomenruotsalainen kirjallisuus;Finnish
Suositukset;Finnish
Superhjälteserier;
Superhjälteserier (tecknade serier);
Supersankarisarjakuvat;Finnish
Surrealismi;Finnish
Sutkaukset;Finnish
Suunnistuskartat;Finnish
Suunnitelmat;Finnish
Suuraakkoskirjat;Finnish
Svart humor;
Svart komedi;
Svartvita serier;
Svensk litteratur;
Sverigefinsk litteratur;
Sviter;
Svärd- och magilitteratur;
Symfonier;
Synodaalisaarnat;Finnish
Synodalpredikningar;
Syntykertomukset;Finnish
Sångböcker;
Sångcykler;
Sånger;
Sånger med ny text;
Sånger på teckenspråk;
Sånglekar;
Sångskolor;
Sångskolor (publikationer);
Sångspel (dramer);
Sångspel (spel);
Sångtexter;
Säestykset;Finnish
Sägner;
Sähköiset julkaisut;Finnish
Säkerhetsbestämmelser;
Sällskapsspel;
Särtryck;
Sävellykset;Finnish
Säveltäjien teosluettelot;Finnish
Säädöskokoelmat;Finnish
Sökordspoesi;
Tabeller;
Tablåer;
Taidearvostelut;Finnish
Taide-eepokset;Finnish
Taidelehdet;Finnish
Taidemusiikki;Finnish
Taistelupelit;Finnish
Taiteilijakirjat;Finnish
Taiteilijaromaanit;Finnish
Taittokirjat;Finnish
Tajunnanvirtakirjallisuus;Finnish
Taktila böcker;
Tal;
Tal (föredrag);
Talböcker;
Talohistoriikit;Finnish
Talouslehdet;Finnish
Taltidningar;
Tangor;
Tangot;Finnish
Tankadikter;
Tankat;Finnish
Tanskan kieli;Finnish
Tanskankielinen kirjallisuus;Finnish
Tanssiarvostelut;Finnish
Tanssilaulut;Finnish
Tanssilehdet;Finnish
Tanssimusiikki;Finnish
Tanssiohjeet;Finnish
Tapahtumalehdet;Finnish
Tapakomediat;Finnish
Taparomaanit;Finnish
Tarinat;Finnish
Tarrakirjat;Finnish
Tarut;Finnish
Taskukirjat;Finnish
Tasohyppelypelit;Finnish
Taulukot;Finnish
Tavukirjat;Finnish
Teaterrecensioner;
Teatertidningar;
Teatteriarvostelut;Finnish
Teatterilehdet;Finnish
Techno;English
Tecknade serier;
Tecknade serier för barn;
Tecknade serier för ungdomar;
Tecknade serier om barn;
Tecknade serier om ungdomar;
Teckningar;
Tehostekirjat;Finnish
Tehtäväkirjat;Finnish
Tekniikkalehdet;Finnish
Tekniktidningar;
Tekniset piirustukset;Finnish
Tekniska ritningar;
Tekno;Finnish
Teknothrillers;Finnish
Teknotrillerit;Finnish
Tekstittömät kirjat;Finnish
Televisioelokuvat;Finnish
Televisiomusiikki;Finnish
Televisionäytelmät;Finnish
Televisio-ohjelmat;Finnish
Televisiosarjat;Finnish
Temaattiset luettelot (musiikki);Finnish
Tematiska förteckningar (musik);
Tendenslitteratur;
Tendenssikirjallisuus;Finnish
Teorianoppaat (musiikki);Finnish
Teoriböcker (musik);
Teosluettelot;Finnish
Terminology;English
Terrängkartor;
Terveyslehdet;Finnish
Test;English
Testit;Finnish
Teurastamot;Finnish
Textbook;English
Textbooks;English
Textbooks as Topic;English
Textlösa böcker;
Thriller;English
Thrillers (filmer);
Thrillers (litteratur);
Thrillers (tecknade serier);
Thrillerserier;
Tidningsartikelsamlingar;
Tidskrifter;
Tidsskildringar (romaner);
Tiedelehdet;Finnish
Tiedotteet;Finnish
Tiedotuslehdet;Finnish
Tiekartat;Finnish
Tieteiselokuvat;Finnish
Tieteiskirjallisuus;Finnish
Tieteissarjakuvat;Finnish
Tietokannat;Finnish
Tietokirjallisuus;Finnish
Tietokonepelit;Finnish
Tietosanakirjat;Finnish
Tietosarjakuvat;Finnish
Tietotekniikkalehdet;Finnish
Tiivistelmäjulkaisut;Finnish
Tilannekomediat;Finnish
Tilapäisrunot;Finnish
Tilastot;Finnish
Tillfällighetsdikter;
Tillkännagivanden;
Titt-ut-böcker;
Tjockbladiga böcker;
Todellisuuspohjaiset teokset;Finnish
Todenpohjaiset teokset;Finnish
Toimintaelokuvat;Finnish
Toimintakertomukset;Finnish
Toimintaohjelmat;Finnish
Toimintapelit;Finnish
Toimintaromaanit;Finnish
Toimintasarjakuvat;Finnish
Tragediat;Finnish
Tragedier;
Tragikomediat;Finnish
Tragikomedier;
Tragikomiikka;Finnish
Tragikomik;
Translations;English
Tributer;
Tribuutit;Finnish
Trilogiat;Finnish
Trilogier;
Trior;
Triot;Finnish
True crime;English
Trädgårdstidningar;
Tsekin kieli;Finnish
Tsekinkielinen kirjallisuus;Finnish
Tšekinkielinen kirjallisuus;Finnish
Tuhkimotarinat;Finnish
Tulevaisuus;Finnish
Tunnustuskirjat;Finnish
Tunnustuskirjat (teologinen kirjallisuus);Finnish
Tuokiokuvat;Finnish
Tuoksukirjat;Finnish
Tuoteluettelot;Finnish
Turistkartor;
Turisttidningar;
