Column1;Column2
Diktbilderböcker;
Dikter;
Dikter med kalevalamått;
Dikter på kalevalamått;
Diplomarbeten;
Diplomityöt;Finnish
Directories;English
Directory;English
Direktiivit;Finnish
Direktiv;
Diskografiat;Finnish
Diskografier;
Dissertationer;
Dissertations;English
Dixieland;
Djungelserier (tecknade serier);
Djurberättelser;
Djurdikter;
Djursagor;
Djurtidningar;
Dockskådespel;
Doftböcker;
Doktorsavhandlingar;
Dokumenttielokuvat;Finnish
Dokumenttikirjallisuus;Finnish
Dokumenttinäytelmät;Finnish
Dokumenttiromaanit;Finnish
Dokumentära skådespel;
Dokumentärfilmer;
Dokumentärlitteratur;
Dokumentärromaner;
Domestic fiction;English
Draamakomediat;Finnish
Draamasarjat;Finnish
Dragspelsböcker;
Dragspelsjazz;
Drama;Finnish
Dramakomedier;
Dramaserier;
Dramatik;
Dramatiseringar;
Dramatisoinnit;Finnish
Dryckesvisor;
Drömböcker;
Duetot;Finnish
Duetter;
Duor;
Duot;Finnish
Dystopiat;Finnish
Dystopier;
Dödsannonser;
E-böcker;
Eepokset;Finnish
Effektböcker;
Efterlysningar;
Egenvårdsguider;
E-kirjat;Finnish
Ekonomitidningar;
Ekothrillers;English
Ekotrillerit;
Electronic books;English
Electronic journals;English
Elegiat (runot);Finnish
Elegier (dikter);
E-lehdet;Finnish
Elektroninen populaarimusiikki;Finnish
Elektronisk populärmusik;
Elektroniska tidskrifter;
Elintarvike-ekonomia;Finnish
Elintarvikekemia;Finnish
Elintarviketeknologia;Finnish
Elintarviketeknologia opinnäytteet;Finnish
Elintarvikkeet;Finnish
Ellibs;
Elokuva-arvostelut;Finnish
Elokuvakäsikirjoitukset;Finnish
Elokuvalehdet;Finnish
Elokuvamusiikki;Finnish
Elokuvat;Finnish
Eläinkertomukset;Finnish
Eläinkirjat;Finnish
Eläinlehdet;Finnish
Eläinrunot;Finnish
Eläinsadut;Finnish
Eläinsarjakuvat;Finnish
Eläintarinat;Finnish
Elämäkerralliset romaanit;Finnish
Elämäkerrat;Finnish
Elämäkertaromaanit;Finnish
Elämäkertasarjakuvat;Finnish
Elämänfilosofia;Finnish
Elämäntaito-oppaat;Finnish
Elämätaito-oppaat;Finnish
Emigrantlitteratur;
Emigranttikirjallisuus;Finnish
Encyclopedias;English
Encyklopedier;
Encyklopediska romaner;
Endagsromaner;
Engelsk litteratur;
Engelsk översättning;
Englaninnkielinen kirjallisuus;Finnish
Englannin kieli;Finnish
Englanninkielinen kaunokirjallisuus;Finnish
Englanninkielinen kirjallisuus;Finnish
Englanninkielinen kirjallisuuus;Finnish
Englanninkielinen käännös;Finnish
Ensamspel;
Ensyklopediset romaanit;Finnish
Entsyymit;Finnish
Epigram;Finnish
Epigrammit;Finnish
Epik;
Episka dikter;
Episodiromaanit;Finnish
Episodisarjakuvat;Finnish
Episodromaner;
Episodserier (tecknade serier);
Epos;
Erikoisbibliografiat;Finnish
Eripainokset;Finnish
Erisäätyisyys;Finnish
Eroottinen kirjallisuus;Finnish
Eroottiset sarjakuvat;Finnish
Erotiikka;Finnish
Erotisk litteratur;
Erotiska serier;
Erotiska serier (tecknade serier);
Eräkertomukset;Finnish
Eräkirjallisuus;Finnish
Erälehdet;Finnish
Eseenovellit;Finnish
Esikoisromaanit;Finnish
Esikoisteokset;Finnish
Esitelmät;Finnish
Esitteet;Finnish
Espanjan kieli;Finnish
Espanjankielinen kaunokirjallisuus;Finnish
Espanjankielinen kirjallisuus;Finnish
Essay;English
Essays;English
Esseenovellit;Finnish
Esseet;Finnish
Essäer;
Essänoveller;
Estnisk litteratur;
Estradpoesi;Finnish
Etiketthandböcker;
Etsintäkuulutukset;Finnish
Etsiväkirjat;Finnish
Etyder;
Etydit;Finnish
Etymologiset sanakirjat;Finnish
Etymologiska ordböcker;
Evaluation Studies;English
Evaluation Study;English
Evangelier;
Evankeliumit;Finnish
Evenemangstidningar;
Evergreens;
Exillitteratur;
Experimentell litteratur;
Experimentella dikter;
Experimentella romaner;
Experimentella serier;
Experimentella serier (tecknade serier);
E-äänikirjat;Finnish
Faabelit;Finnish
Fabeldjursserier;
Fabeldjursserier (tecknade serier);
Fabler;
Fackföreningstidningar;
Facktidskrifter;
Fado;
Fadot;Finnish
Faksimil;
Faktaserier (tecknade serier);
